INSTAGRAM HANDLE,EVENT NAME,DATE,START TIME,VENUE NAME,CITY,SECTION OF NJ,NEWSLETTER DESCRIPTION,INSTAGRAM POST URL,DISPLAY URL,POST URL,INSTAGRAM PROFILE URL,EVENT TYPE,ACCOUNT NAME,DESCRIPTION,PERFORMER,PRICE,CONFIDENCE,POST ID,HAD OCR,FROM CALENDAR,IS RECURRING,PROCESSED TIMESTAMP
ALLTHINGS1ELLE,ANGUS STEAK AND SEAFOOD EXPERIENCE,2026-04-12,,ANGUS STEAK AND SEAFOOD,MYRTLE BEACH,,"EXPERIENCE A FIERY STEAK DINNER WITH A WILD, COZY VIBE AT ANGUS STEAK AND SEAFOOD!",https://www.instagram.com/p/DXCw9jfgCb7/,https://scontent.cdninstagram.com/v/t51.71878-15/670866283_1428671432367595_8985127387896238242_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2gHAxmMVPsCIECWQo4GReXCoIEOqvdIhKwIbs5TX3J761H0TocKUWA5vD4E65QxiDuA&_nc_ohc=kxaGM1GWLfsQ7kNvwEeAIek&_nc_gid=bh5EYfuAMcoVdIE5kgR1zw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af2BOytn-cNiu45682IktG-7eGfL-YuTfE3IqaeA-X9RZA&oe=69E6D1EA&_nc_sid=10d13b,https://www.instagram.com/p/DXCw9jfgCb7/,https://www.instagram.com/allthings1elle/,DINING,ELTERIAYAH,"AN EXPERIENTIAL DINNER AT ANGUS STEAK AND SEAFOOD FEATURING TABLESIDE FIRE-GRILLED STEAK, REFRESHING PINEAPPLE DRINKS, AND A UNIQUE UPSCALE YET CHILL ATMOSPHERE. THE POST HIGHLIGHTS THE JUICY, TENDER, AND PERFECTLY COOKED STEAK, DELICIOUS DRINKS, AND GREAT CONVERSATION.",,,0.9,3873873965722117883,True,False,False,2026-04-16 16:49:54
CRABBAEMAPLEWOOD,OPEN LATE,2026-04-11,9:00 PM,CRABBAE,MAPLEWOOD,CENTRAL,JOIN US AT CRABBAE MAPLEWOOD - WE'RE OPEN UNTIL 9 PM TONIGHT!,https://www.instagram.com/p/DXAdDCPkeww/,https://scontent.cdninstagram.com/v/t51.71878-15/670373296_1276420008005715_2221041166300356145_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gHJiJJtIY7dQmOMudTW_xMFpEDKfV21JEem8SZO2PwSYTZDwXnCVGVs7rhZTfb4RaQ&_nc_ohc=3nsp9oBKEuMQ7kNvwGwTFc7&_nc_gid=uJ7KsifRUxTmWwrSEiXKZQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af0GEKtdVxBGoSK4UtxX8zzxXvEZ17gRvSKoM-OoMGaWuQ&oe=69E6C32F&_nc_sid=10d13b,https://www.instagram.com/p/DXAdDCPkeww/,https://www.instagram.com/crabbaemaplewood/,GENERAL,165 FRANKLIN TERRACE MAPLEWOOD NJ,CRABBAE MAPLEWOOD WILL BE OPEN UNTIL 9 PM.,,,0.9,3873223431454583856,False,False,False,2026-04-16 16:49:54
NEWARKMUSEUMART,ELIZABETH CATLETT BIRTHDAY CELEBRATION,2026-04-15,,THE NEWARK MUSEUM OF ART,NEWARK,NORTH,"HONOR THE LEGACY OF ELIZABETH CATLETT, A POWERFUL VOICE IN 20TH-CENTURY AMERICAN ART.",https://www.instagram.com/p/DXKoYQOCCHW/,https://scontent.cdninstagram.com/v/t51.82787-15/670737248_18573238822038063_4954513122277244193_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gFfMHQOKjIYJLpiHq7Yuq8A-PwPfQEzNYRf7IqWnNzfL5efHW6F7zLmpMDT3kX66Qg&_nc_ohc=c7W0dfyjfQgQ7kNvwEnrEk5&_nc_gid=EUop-cOZet_yH-ndHCFhcA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af1rBLrDvPohbbb-Uaj0ZcNuoTKSB7X--aUMCgnVV1d1AA&oe=69E6BDBF&_nc_sid=10d13b,https://www.instagram.com/p/DXKoYQOCCHW/,https://www.instagram.com/newarkmuseumart/,CELEBRATION,THE NEWARK MUSEUM OF ART,"TODAY WE HONOR THE BIRTHDAY OF ELIZABETH CATLETT - ARTIST, ACTIVIST, AND A POWERFUL VOICE IN 20TH-CENTURY AMERICAN ART. WORKING ACROSS PRINTMAKING AND SCULPTURE, CATLETT CENTERED HER PRACTICE ON BLACK LIFE, DIGNITY, AND RESISTANCE. WATTS/DETROIT/WASHINGTON/HARLEM/NEWARK, 1970, IS A TESTAMENT TO THAT COMMITMENT. CREATED IN THE AFTERMATH OF MARTIN LUTHER KING JR.’S ASSASSINATION, THIS LINOLEUM PRINT MAPS THE GRIEF AND FURY THAT ERUPTED ACROSS AMERICAN CITIES, INCLUDING OUR OWN. HAPPY BIRTHDAY, ELIZABETH CATLETT.",,,1.0,3876088017848902102,True,False,False,2026-04-16 16:49:54
THESLCREATIVES,TEAM ARTIST INTERVIEW,2026-04-17,,,,,GET AN INSIDE LOOK AT THE CREATIVE PROCESS FROM A VISIONARY ARTIST!,https://www.instagram.com/p/DW9UfsLEaAZ/,https://scontent-ord5-2.cdninstagram.com/v/t51.82787-15/669809277_18072250202644883_6447890369089587182_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gGYRaW6W1RHM3ZRHRf66h5twzzJXUxDliipq_h5rUw-U63_RIHwOtwOt581KFtpcM8&_nc_ohc=o4dW6kYp5w8Q7kNvwFwve6o&_nc_gid=x3tqTbkhbxEHnxxbH_6-NA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af13CaN4a0FSzPcQokHG3Ar8vfIlR5mI3Y5Qn2ytM0lLpg&oe=69E6DFFB&_nc_sid=10d13b,https://www.instagram.com/p/DW9UfsLEaAZ/,https://www.instagram.com/theslcreatives/,INTERVIEW,SL ✰,"BTS CONVERSATIONS WITH @TEAMARTIST, SHARING HER EXPERIENCE WORKING WITH ICONS LIKE @OFFICIALSPIKELEE AND @SHAQ, AND THE MOMENT HER DESIGNS REACHED THE MET GALA STAGE. INTERVIEW SEGMENT DROPPING SOON.",@TEAMARTIST,,0.8,3872341393272840217,True,False,False,2026-04-16 16:49:54
BRICKCITYRUNCLUB,CHERRY BLOSSOM 10K RUN,2026-04-13,,ESSEX COUNTY,NEWARK,CENTRAL,CELEBRATE FITNESS AT THE CHERRY BLOSSOM 10K RUN!,https://www.instagram.com/p/DXFdlQTFtLK/,https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/669933050_18098835331961427_2237168318024328967_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gFNPaVLn-EppBPciYsQaR2iGbt6nR2cmYML6BlQv4k2umO2siBp9wk_XDAGzgiBiyQ&_nc_ohc=nLXRibsHNsYQ7kNvwEf-YbM&_nc_gid=S7Q8XMt5xex0RY5x3wKPFg&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3_buiVzuPG4Hrzcr_-6-2BjREfZM-Erx1uuP0Fhzw3oQ&oe=69E6CB72&_nc_sid=10d13b,https://www.instagram.com/p/DXFdlQTFtLK/,https://www.instagram.com/brickcityrunclub/,RACE,,CONGRATS TO ALL FINISHERS AT THE CHERRY BLOSSOM 10K.,,,0.9,3874633157891773130,True,False,False,2026-04-16 16:49:54
THEVAULTLOUNGENJ,VAULT ROOFTOP,2026-04-11,,THE VAULT LOUNGE,NEWARK,NORTH,ENJOY THE VIBES AT THE VAULT LOUNGE!,https://www.instagram.com/p/DXADyZqkQ8a/,https://scontent.cdninstagram.com/v/t51.71878-15/662995880_1738455067136437_1845462823863689427_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gGVOgiJbQLno02EOBJ5ZTXZ8oEZXaICNp-cNXeVj-t59bXem_1TRVSxYXX_z2bKC2Q&_nc_ohc=x5mzpuSR6tUQ7kNvwEQoAJE&_nc_gid=GFEo2e-DzaifN82WbxRuPA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af1cPRT4fCPuH4O6NJ30YFpbGkz3obMCntUNKKRyHZO3pg&oe=69E6EADB&_nc_sid=10d13b,https://www.instagram.com/p/DXADyZqkQ8a/,https://www.instagram.com/thevaultloungenj/,VIBES,VAULT ROOFTOP NOW OPEN ☀️,YOU BELONG HERE 🥰,,,0.9,3873112337209691930,True,False,False,2026-04-16 16:49:54
CHSTEAKHOUSE,CELEBRATION VENUE,2026-04-16,,CH STEAKHOUSE,NORTH BERGEN,NORTH,HOST YOUR NEXT CELEBRATION AT CH STEAKHOUSE!,https://www.instagram.com/p/DXMdf98kSEK/,https://scontent-lga3-2.cdninstagram.com/v/t51.71878-15/671835628_2049439799120869_4688814057006035662_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gFHgsg6xLDuuQPNjOW6xR6fd0DVoU9x9MUpYyuBpzLl_7konQFKhThfr8PqasffqEg&_nc_ohc=DDHS2IzCiC8Q7kNvwFWnrLU&_nc_gid=2uocSjDUzU1l3v64Qqt_hQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af2MAg6iT_F42cOBuq2k3ccz6afAdQle55EEMX-uYumYxA&oe=69E6BEA3&_nc_sid=10d13b,https://www.instagram.com/p/DXMdf98kSEK/,https://www.instagram.com/chsteakhouse/,GENERAL,CH STEAKHOUSE,"HOST YOUR NEXT CELEBRATION WHERE EVERY DETAIL FEELS INTENTIONAL AND EVERY MOMENT FEELS ELEVATED. 🥂✨

FROM WEDDINGS AND BIRTHDAYS TO LIFE’S MOST IMPORTANT CELEBRATIONS, CH STEAKHOUSE IS THE PERFECT PLACE TO MAKE IT UNFORGETTABLE.",,,0.8,3876603119426150666,False,False,False,2026-04-16 16:49:54
BKS.NJ,BLK LV GAMENIGHT PT. II,2026-04-16,7:30 PM,BEST KEPT SECRET,HILLSIDE,CENTRAL,GET READY FOR BLK LV GAMENIGHT PT. II THIS THURSDAY!,https://www.instagram.com/p/DXCh35iFUnP/,https://scontent-det1-1.cdninstagram.com/v/t51.82787-15/670850289_17917771668343281_6117740723808353658_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gHCElBcZsmMIf0vJzb6FI0TjrpGJo6rXfKuUzPaw67mui55rBJ9p6t8ocb_Ae4c9p0&_nc_ohc=etctN7LKxBIQ7kNvwFczOOn&_nc_gid=WKxisOqLk6JQt4sVOK8Wiw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af0YtbuducBsNiEBm4G_hYFbauVw1wi3IvBe3KgJZoxGAg&oe=69E6BC66&_nc_sid=10d13b,https://www.instagram.com/p/DXCh35iFUnP/,https://www.instagram.com/bks.nj/,GAMENIGHT,BEST KEPT SECRET,BLK LV GAMENIGHT PT. II,,,1.0,3873807606373239247,True,False,False,2026-04-16 16:49:54
DJWALLAH,NEW PROJECT LISTENING,2026-04-15,,SEI LESS NYC,NEW YORK,,CATCH BLXST AS THEY PREMIERE THEIR NEW PROJECT!,https://www.instagram.com/p/DXI4nf4jTfa/,https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/671153516_18574015111037617_3315564906020981967_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gE80aECCx0QRmKfuw-iUbyZkZqPip0PhrJOYqUnOWjMnmBxe5YGHxg0ZmcacNmRp0M&_nc_ohc=TpLCtTmipSkQ7kNvwFG3uQi&_nc_gid=Og7D6ukZBRU_YbJEorksbQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3lo1HsMihG2_08LOcf2ycZiAs9kBQkZ-XmIVm076hOaQ&oe=69E6BED5&_nc_sid=10d13b,https://www.instagram.com/p/DXI4nf4jTfa/,https://www.instagram.com/djwallah/,MUSIC,DJWALLAH,BLXST IN TOWN LETTING US HEAR THE NEW PROJECT.,@BLXST,,0.8,3875596484251301850,True,False,False,2026-04-16 16:49:54
DJWALLAH,NEW MUSIC RELEASE,2026-04-15,,SEI LESS NYC,NEW YORK,,DON'T MISS THE BRAND NEW MUSIC RELEASE FROM @DJWALLAH AND @BLXST!,https://www.instagram.com/p/DXI4nf4jTfa/,https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/671153516_18574015111037617_3315564906020981967_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gE80aECCx0QRmKfuw-iUbyZkZqPip0PhrJOYqUnOWjMnmBxe5YGHxg0ZmcacNmRp0M&_nc_ohc=TpLCtTmipSkQ7kNvwFG3uQi&_nc_gid=Og7D6ukZBRU_YbJEorksbQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3lo1HsMihG2_08LOcf2ycZiAs9kBQkZ-XmIVm076hOaQ&oe=69E6BED5&_nc_sid=10d13b,https://www.instagram.com/p/DXI4nf4jTfa/,https://www.instagram.com/djwallah/,MUSIC,DJWALLAH,NEW MUSIC OUT NOW!,"@DJWALLAH, @BLXST",,0.9,3875596484251301850,True,False,False,2026-04-16 16:49:54
