event_name,date,start_time,venue_name,city,section_of_nj,newsletter_description,event_type,description,performer,price,confidence,is_recurring,instagram_handle,instagram_post_url,display_url,post_url,instagram_profile_url,account_name,post_id,had_ocr,from_calendar
R&B Spring Edition,2026-04-25,,Big Shots Restaurant & Lounge,Iselin,Central,Get ready for the R&B Spring Edition at Big Shots!,Concert,R&B Spring Edition Outdoor Patio Party,,,0.9,False,bigshotswoodbridge,https://www.instagram.com/p/DWk8gm-jf0M/,https://scontent-bos5-1.cdninstagram.com/v/t51.82787-15/657912904_18584957617040023_8647257712379443208_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2gHZbcf7hRTXlU-4tyC-AG-vAVL0fEqrs-I26VhllPd_zd6OCtMr4cqSVFEnD01UvCo&_nc_ohc=h1GTtQMFBTgQ7kNvwELQUNY&_nc_gid=HiKNHoFMSOmU6fAsAqYOBw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af24W0V1EoKYe131BgESMJLBCPtuY8ALy9V4c8iQuYOzfw&oe=69F007D5&_nc_sid=10d13b,https://www.instagram.com/p/DWk8gm-jf0M/,https://www.instagram.com/bigshotswoodbridge/,Big Shots Restaurant & Lounge,3865480503856332044,True,False
R&B Love Spring Kickoff,2026-04-25,,Big Shots Restaurant & Lounge,Iselin,Central,Don't miss the R&B Love Spring Kickoff outdoor patio party!,Party,"R&B Love Spring Kickoff Outdoor Patio Party. VIP Sections, Bottle Service, Hookah available. Dress code enforced.",,,0.95,False,bigshotswoodbridge,https://www.instagram.com/p/DWk8gm-jf0M/,https://scontent-bos5-1.cdninstagram.com/v/t51.82787-15/657912904_18584957617040023_8647257712379443208_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2gHZbcf7hRTXlU-4tyC-AG-vAVL0fEqrs-I26VhllPd_zd6OCtMr4cqSVFEnD01UvCo&_nc_ohc=h1GTtQMFBTgQ7kNvwELQUNY&_nc_gid=HiKNHoFMSOmU6fAsAqYOBw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af24W0V1EoKYe131BgESMJLBCPtuY8ALy9V4c8iQuYOzfw&oe=69F007D5&_nc_sid=10d13b,https://www.instagram.com/p/DWk8gm-jf0M/,https://www.instagram.com/bigshotswoodbridge/,Big Shots Restaurant & Lounge,3865480503856332044,True,False
Shen Yun Performing Arts 20th,2026-04-29,,NJPAC,Newark,Central,"Experience 5,000 years of Chinese culture with Shen Yun's mesmerizing classical dance!",performance,"Experience the magic of @shenyunperformingarts 20th Anniversary! Journey through 5,000 years of Chinese culture with mesmerizing classical dance, stunning scenography, and original music. This 2-hour spectacle, plus a 15-minute intermission, takes you beyond the visible world into stories from ancient times and beyond. An unforgettable cultural experience awaits!",Shen Yun Performing Arts,,0.9,False,newarkdowntowndistrict,https://www.instagram.com/p/DVQ4G0_gEtW/,https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/639749882_18567226369038377_230596976989583036_n.heic?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gEUMov04Z1N2nTRCjElYSCSYVj0hRoy6PliNnZkCFUjjcuBNgd_Jrny3L7OGPcDSrM&_nc_ohc=PWEvY850sb0Q7kNvwE8FXOk&_nc_gid=iLbdmmKG0F78i24P-jyfJA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af21-K8VUjRJkeKk_I6ANJCYyEBW8uECY7J1Kk2oBoHdHQ&oe=69EFEB63&_nc_sid=10d13b,https://www.instagram.com/p/DVQ4G0_gEtW/,https://www.instagram.com/newarkdowntowndistrict/,Newark Downtown District,3841817241968462678,True,False
Shen Yun Performing Arts 20th,2026-04-30,,NJPAC,Newark,Central,"Experience 5,000 years of Chinese culture with Shen Yun's mesmerizing classical dance!",performance,"Experience the magic of @shenyunperformingarts 20th Anniversary! Journey through 5,000 years of Chinese culture with mesmerizing classical dance, stunning scenography, and original music. This 2-hour spectacle, plus a 15-minute intermission, takes you beyond the visible world into stories from ancient times and beyond. An unforgettable cultural experience awaits!",Shen Yun Performing Arts,,0.9,False,newarkdowntowndistrict,https://www.instagram.com/p/DVQ4G0_gEtW/,https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/639749882_18567226369038377_230596976989583036_n.heic?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gEUMov04Z1N2nTRCjElYSCSYVj0hRoy6PliNnZkCFUjjcuBNgd_Jrny3L7OGPcDSrM&_nc_ohc=PWEvY850sb0Q7kNvwE8FXOk&_nc_gid=iLbdmmKG0F78i24P-jyfJA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af21-K8VUjRJkeKk_I6ANJCYyEBW8uECY7J1Kk2oBoHdHQ&oe=69EFEB63&_nc_sid=10d13b,https://www.instagram.com/p/DVQ4G0_gEtW/,https://www.instagram.com/newarkdowntowndistrict/,Newark Downtown District,3841817241968462678,True,False
Shen Yun Performing Arts 20th,2026-05-01,,NJPAC,Newark,Central,"Experience 5,000 years of Chinese culture with Shen Yun's mesmerizing classical dance!",performance,"Experience the magic of @shenyunperformingarts 20th Anniversary! Journey through 5,000 years of Chinese culture with mesmerizing classical dance, stunning scenography, and original music. This 2-hour spectacle, plus a 15-minute intermission, takes you beyond the visible world into stories from ancient times and beyond. An unforgettable cultural experience awaits!",Shen Yun Performing Arts,,0.9,False,newarkdowntowndistrict,https://www.instagram.com/p/DVQ4G0_gEtW/,https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/639749882_18567226369038377_230596976989583036_n.heic?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gEUMov04Z1N2nTRCjElYSCSYVj0hRoy6PliNnZkCFUjjcuBNgd_Jrny3L7OGPcDSrM&_nc_ohc=PWEvY850sb0Q7kNvwE8FXOk&_nc_gid=iLbdmmKG0F78i24P-jyfJA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af21-K8VUjRJkeKk_I6ANJCYyEBW8uECY7J1Kk2oBoHdHQ&oe=69EFEB63&_nc_sid=10d13b,https://www.instagram.com/p/DVQ4G0_gEtW/,https://www.instagram.com/newarkdowntowndistrict/,Newark Downtown District,3841817241968462678,True,False
Shen Yun Performing Arts 20th,2026-05-02,,NJPAC,Newark,Central,"Experience 5,000 years of Chinese culture with Shen Yun's mesmerizing classical dance!",performance,"Experience the magic of @shenyunperformingarts 20th Anniversary! Journey through 5,000 years of Chinese culture with mesmerizing classical dance, stunning scenography, and original music. This 2-hour spectacle, plus a 15-minute intermission, takes you beyond the visible world into stories from ancient times and beyond. An unforgettable cultural experience awaits!",Shen Yun Performing Arts,,0.9,False,newarkdowntowndistrict,https://www.instagram.com/p/DVQ4G0_gEtW/,https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/639749882_18567226369038377_230596976989583036_n.heic?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gEUMov04Z1N2nTRCjElYSCSYVj0hRoy6PliNnZkCFUjjcuBNgd_Jrny3L7OGPcDSrM&_nc_ohc=PWEvY850sb0Q7kNvwE8FXOk&_nc_gid=iLbdmmKG0F78i24P-jyfJA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af21-K8VUjRJkeKk_I6ANJCYyEBW8uECY7J1Kk2oBoHdHQ&oe=69EFEB63&_nc_sid=10d13b,https://www.instagram.com/p/DVQ4G0_gEtW/,https://www.instagram.com/newarkdowntowndistrict/,Newark Downtown District,3841817241968462678,True,False
Shen Yun Performing Arts 20th,2026-05-03,,NJPAC,Newark,Central,"Experience 5,000 years of Chinese culture with Shen Yun's mesmerizing classical dance!",performance,"Experience the magic of @shenyunperformingarts 20th Anniversary! Journey through 5,000 years of Chinese culture with mesmerizing classical dance, stunning scenography, and original music. This 2-hour spectacle, plus a 15-minute intermission, takes you beyond the visible world into stories from ancient times and beyond. An unforgettable cultural experience awaits!",Shen Yun Performing Arts,,0.9,False,newarkdowntowndistrict,https://www.instagram.com/p/DVQ4G0_gEtW/,https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/639749882_18567226369038377_230596976989583036_n.heic?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gEUMov04Z1N2nTRCjElYSCSYVj0hRoy6PliNnZkCFUjjcuBNgd_Jrny3L7OGPcDSrM&_nc_ohc=PWEvY850sb0Q7kNvwE8FXOk&_nc_gid=iLbdmmKG0F78i24P-jyfJA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af21-K8VUjRJkeKk_I6ANJCYyEBW8uECY7J1Kk2oBoHdHQ&oe=69EFEB63&_nc_sid=10d13b,https://www.instagram.com/p/DVQ4G0_gEtW/,https://www.instagram.com/newarkdowntowndistrict/,Newark Downtown District,3841817241968462678,True,False
Dinner Special: Buy One Get One House,2026-03-26,4:00 PM,Mamajuana Cafe Woodbridge,Iselin,Central,Enjoy a fantastic dinner special at Mamajuana Cafe Woodbridge!,Discount,"Buy a Dinner, Get One Complementary House Cocktail. Valid for March and April. Available Tuesday to Thursday from 4 PM to 10 PM.",,,0.8,False,mamajuanacafewoodbridgenj,https://www.instagram.com/p/DWXDiisD4Cn/,https://scontent-lga3-3.cdninstagram.com/v/t51.82787-15/658012928_18306741187279772_9210023032527185593_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2gGl0t_x2jAf8iKbhb0w0OqTNaNkiVgTPRDld4I9ci8hOGGLSnVYfpkAjEoivsc-wMo&_nc_ohc=lVGHcEnDuGEQ7kNvwGtsaFv&_nc_gid=RedvFMlgOWvoG6vMgiH8IQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af06KsxUjQKcFYRGWTyND0ZhgI9rjSevu8voeFjjlZOryg&oe=69EFE436&_nc_sid=10d13b,https://www.instagram.com/p/DWXDiisD4Cn/,https://www.instagram.com/mamajuanacafewoodbridgenj/,Mamajuana Cafe Woodbridge,3861570773341667495,True,False
Dinner Special: Buy One Get One House,2026-03-27,4:00 PM,Mamajuana Cafe Woodbridge,Iselin,Central,Enjoy a fantastic dinner special at Mamajuana Cafe Woodbridge!,Discount,"Buy a Dinner, Get One Complementary House Cocktail. Valid for March and April. Available Tuesday to Thursday from 4 PM to 10 PM.",,,0.8,False,mamajuanacafewoodbridgenj,https://www.instagram.com/p/DWXDiisD4Cn/,https://scontent-lga3-3.cdninstagram.com/v/t51.82787-15/658012928_18306741187279772_9210023032527185593_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2gGl0t_x2jAf8iKbhb0w0OqTNaNkiVgTPRDld4I9ci8hOGGLSnVYfpkAjEoivsc-wMo&_nc_ohc=lVGHcEnDuGEQ7kNvwGtsaFv&_nc_gid=RedvFMlgOWvoG6vMgiH8IQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af06KsxUjQKcFYRGWTyND0ZhgI9rjSevu8voeFjjlZOryg&oe=69EFE436&_nc_sid=10d13b,https://www.instagram.com/p/DWXDiisD4Cn/,https://www.instagram.com/mamajuanacafewoodbridgenj/,Mamajuana Cafe Woodbridge,3861570773341667495,True,False
Dinner Special: Buy One Get One House,2026-03-28,4:00 PM,Mamajuana Cafe Woodbridge,Iselin,Central,Enjoy a fantastic dinner special at Mamajuana Cafe Woodbridge!,Discount,"Buy a Dinner, Get One Complementary House Cocktail. Valid for March and April. Available Tuesday to Thursday from 4 PM to 10 PM.",,,0.8,False,mamajuanacafewoodbridgenj,https://www.instagram.com/p/DWXDiisD4Cn/,https://scontent-lga3-3.cdninstagram.com/v/t51.82787-15/658012928_18306741187279772_9210023032527185593_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2gGl0t_x2jAf8iKbhb0w0OqTNaNkiVgTPRDld4I9ci8hOGGLSnVYfpkAjEoivsc-wMo&_nc_ohc=lVGHcEnDuGEQ7kNvwGtsaFv&_nc_gid=RedvFMlgOWvoG6vMgiH8IQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af06KsxUjQKcFYRGWTyND0ZhgI9rjSevu8voeFjjlZOryg&oe=69EFE436&_nc_sid=10d13b,https://www.instagram.com/p/DWXDiisD4Cn/,https://www.instagram.com/mamajuanacafewoodbridgenj/,Mamajuana Cafe Woodbridge,3861570773341667495,True,False
