event_name,date,start_time,venue_name,city,section_of_nj,newsletter_description,event_type,description,performer,price,confidence,is_recurring,instagram_handle,instagram_post_url,display_url,post_url,instagram_profile_url,account_name,post_id,had_ocr,from_calendar
Friday Night Dinner,2026-03-27,,House 157 Restaurant & Bar,Roselle Park,Central,Start your weekend right with a delicious dinner at House 157!,Dinner,Your Friday night deserves a proper dinner. Steak. Seafood. Surf meets turf. All waiting for you at House 157.,,,0.8,False,house157_,https://www.instagram.com/p/DWZTQujEfPs/,https://scontent-ord5-2.cdninstagram.com/v/t51.82787-15/658853711_18121047607627901_8104083872238029760_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gHgyxGg8DZDy4i_QsIfZrYiy7hr48lNg93fnMPju8uMdnx050KDtMRiEwlfYpj_vvw&_nc_ohc=1xFQ83CNycsQ7kNvwFVbCb3&_nc_gid=-avFflohMe_JBsiE8ZAVhA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af1uPIyftWzZrL-QM9MYZT3XjkNxzNRZ0X9qGxfVOGX9CQ&oe=69D4B1EB&_nc_sid=10d13b,https://www.instagram.com/p/DWZTQujEfPs/,https://www.instagram.com/house157_/,House 157 Restaurant & Bar,3862202867822752748,True,False
Liquid Brunch,2026-03-29,,Cherry's Lounge,,,Kick off your weekend with a Liquid Brunch at Cherry's Lounge!,Brunch,Your weekend plans should ALWAYS include Liquid Brunch @ Cherry’s Lounge!,,,0.8,False,cherryslounge_bar_grill_,https://www.instagram.com/p/DWeR1GlDgIf/,https://scontent-ord5-3.cdninstagram.com/v/t51.71878-15/656454657_905448082300452_8495158364389608327_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gEtWG5tBLWPX7gn3wYx3X3FaT6I6asWTXq3ii19BmW7eaJY94MhB-rIILaOZ4w-YXU&_nc_ohc=GdGreNR_mlgQ7kNvwH0KFTn&_nc_gid=zg4zWIbuzRqYoe5wmMVq-g&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3VIg5dLnQ5mFdONj9FuQ8Dm1hTdCciLURSrXHsi4iPkA&oe=69D49A90&_nc_sid=10d13b,https://www.instagram.com/p/DWeR1GlDgIf/,https://www.instagram.com/cherryslounge_bar_grill_/,Cherry’s Lounge,3863603946317546015,True,False
Bloom & Brunch,2026-03-29,,House 157 Restaurant & Bar,,,"Experience a beautiful brunch filled with mimosas, 90's R&B, and creative bouquet making!",Brunch,"A beautiful Bloom & Brunch event featuring mimosas, 90's R&B, bouquet creation, and a delicious brunch, celebrating Women's History Month.",,,0.9,False,house157_,https://www.instagram.com/p/DWg9tD8kUP-/,https://scontent-ord5-2.cdninstagram.com/v/t51.82787-15/658628044_18121332781627901_1848123642070809651_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gE21-2vKbdRmkhhxVaUm11XPIl6cRUsLLFDOOPKszGjF1t6ibtaDdC4PDfMJXUydRY&_nc_ohc=_fU7sTzgXLMQ7kNvwF8PUPp&_nc_gid=6HreppJqc2YIlttTFVm65g&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3IhDpcD14jcgcriohCdKAWidTzH0zIpMbAUbqPHdnhyg&oe=69D4985F&_nc_sid=10d13b,https://www.instagram.com/p/DWg9tD8kUP-/,https://www.instagram.com/house157_/,House 157 Restaurant & Bar,3864359857734894590,True,False
DJ Casper Night,2026-04-04,9:00 PM,The Ashford,Jersey City,North,"Experience Top 40, Hip-Hop, and Latin vibes with DJ Casper at The Ashford!",Music,"Flirt. Dance. Repeat. No rules, just vibes at The Ashford — where Jersey City comes to party 💃🏽 Top 40 x Hip-Hop x Latin all night with sounds by DJ Casper 🎶",DJ Casper,,1.0,False,theashfordjc,https://www.instagram.com/p/DWpId_4D35u/,https://scontent-hou1-1.cdninstagram.com/v/t51.82787-15/658829421_18426238621187387_8717783748815450469_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gHAQwEmb27NT0CE6G4oVsObzU7kgPCsQPLTfa3OH2oH-I8K-lllbo_LYrBsPQz87EM&_nc_ohc=DJ2MmEpCC8kQ7kNvwHFF_KS&_nc_gid=_XhoJiKjT0tzWsVJiPrq9g&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af08dV3AbaWvmnfdMtBgurmWPZOq5nCsGVeDR7d8_2KNyw&oe=69D4AA74&_nc_sid=10d13b,https://www.instagram.com/p/DWpId_4D35u/,https://www.instagram.com/theashfordjc/,The Ashford | Restaurant Lounge & Rooftop,3866659000897470062,True,False
Happy Hour Hits: Who Shot Ya Cocktail,2026-03-22,,Life After Restaurant & Lounge,Edgewater,North,Taste the culture with every sip of our Happy Hour Hits: Who Shot Ya Cocktail Shots!,Food & Drink,Episode 4 featuring Happy Hour Hits: Who Shot Ya Cocktail Shots. Every cocktail has a story.,,,0.9,False,lifeafterrestaurant,https://www.instagram.com/p/DWMOoebDYcp/,https://scontent-mia5-1.cdninstagram.com/v/t51.82787-15/655237076_17970933464994194_1255532741080608279_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2gFdghzFpn6Uxo9Nbi-5mDpYHt1bwXHt7L9Q1m9Sme3yd1Gjx0tfuyh2Vf9dezsIad4&_nc_ohc=3kritfw53HIQ7kNvwFdJcCy&_nc_gid=OgnhfDrYVRA7Mu4EUjlBtA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3UUz0Y6SQum0HCvYtKDmpbdub6n_M9pjbzw1u6nHcrCg&oe=69D49517&_nc_sid=10d13b,https://www.instagram.com/p/DWMOoebDYcp/,https://www.instagram.com/lifeafterrestaurant/,LIFE AFTER RESTAURANT,3858523334846023465,False,False
$19.95 Lobster Special,2026-04-03,5:00 PM,The Ashford,Jersey City,North,Indulge in a delicious $19.95 lobster special every Thursday!,Food Special,"Simple, classic, and worth it. Fresh Whole Lobster, Baked Potato, Corn on the Cob, House Garlic Butter Sauce.",,$19.95,0.9,True,theashfordjc,https://www.instagram.com/p/DWpG9Z0jzwG/,https://scontent-ord5-2.cdninstagram.com/v/t51.71878-15/661168813_26313468425006038_403714714721315135_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2gHyW5Px4y46QMAfm_enMrCTShQGuSw_qN_aZXyyQFCKSJA1eJiuB4ps0DyC8a4FK_Y&_nc_ohc=b-76_oSH6WoQ7kNvwGbQQIQ&_nc_gid=-xvLR_LACpe3_QTj-WULFw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3Bn3DTF__1j0m2oetHI127pGedkagjXE7tpw6Q8R_Lww&oe=69D4957B&_nc_sid=10d13b,https://www.instagram.com/p/DWpG9Z0jzwG/,https://www.instagram.com/theashfordjc/,The Ashford | Restaurant Lounge & Rooftop,3866652362966776838,True,False
RNB Thursdayyy,2026-04-03,5:00 PM,Club Marlos,Irvington,Central,Get your week started right with RNB Thursdayyy at Club Marlos!,Music,RNB Thursdayyy with music by @djbigdrip43 @djbmoney973 and hookah by @toplinehookah_.,"DJ Big Drip, DJ B Money",,1.0,True,official_clubmarlos,https://www.instagram.com/p/DWpD7hEjo4E/,https://scontent-atl3-3.cdninstagram.com/v/t51.82787-15/659776537_18579333898028517_7600087801531090640_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gEh6nEKIzl49rUw32IhL2MSQY-wwWGOqgCqSI4nzbWNnV_CLpFSzIFNaFlkJUNcNjk&_nc_ohc=ReXr9CTCVhUQ7kNvwEWqr17&_nc_gid=4ZSRN60-n5NjdPoa-7QaJw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3TxDcuXgvu89sfii7kt0xaXcg8JXTroWHgCKuDvLiYdQ&oe=69D49C7B&_nc_sid=10d13b,https://www.instagram.com/p/DWpD7hEjo4E/,https://www.instagram.com/official_clubmarlos/,Club Marlos,3866639039172873732,True,False
Kellie Allen Live,2026-03-21,,MAKE JERSEY HOUSE AGAIN,Asbury Park,Central,Experience an unforgettable night with Kellie Allen's music!,Concert,Last night with @kellieallenmusic was one for the 📚📚📚 Super big thank you to everyone that shared the night with us!,@kellieallenmusic,,0.9,False,makejerseyhouseagain,https://www.instagram.com/p/DWKuWKtjW0c/,https://scontent-mia3-3.cdninstagram.com/v/t51.82787-15/655230134_17967116955030332_3027426166334387029_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-mia3-3.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2gHzcVLFmS3Mn4VM3Ufl07BNmPxOl6DnfUz84moE9ixtR3TB7FVkiv4NMuK_RPiRASQ&_nc_ohc=5c1HkhOTGfgQ7kNvwH5OV17&_nc_gid=6sodsxTEwi-Yvp5aAgXwKw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3OZndb5uzqZyeG2sA_V3FH-Ae_dPIPtQdNcrxCxmTlmw&oe=69D4AAE8&_nc_sid=10d13b,https://www.instagram.com/p/DWKuWKtjW0c/,https://www.instagram.com/makejerseyhouseagain/,MAKE JERSEY HOUSE AGAIN,3858099864265911580,True,False
Happy Hour,2026-04-02,7:00 PM,The City Lounge & Restaurant,Newark,Central,Enjoy Happy Hour specials from 7pm-10pm tonight!,Happy Hour,Happy Hour from 7pm-10pm. Age requirement 21 and up. Music by @vdmsounds @tco.dylann. Drinks by @malo_jr_. Buy 4 Shots Get 4 Shots FREE (Shotboat Only). Hookah by @illy.ny. Closes at 2am.,"['@vdmsounds', '@tco.dylann']",,0.9,False,citylounge973,https://www.instagram.com/p/DWpH7YGGFP7/,https://instagram.ftup1-1.fna.fbcdn.net/v/t51.82787-15/658362077_18347900437215374_2576781903627455304_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.ftup1-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2gH5u7Npj-jVmtSnEgLGpnhgtLpKxs9ABEvEbG6S8W4d5SqDej0Aer_yrxDpSvR554I&_nc_ohc=x4bGrzQKufoQ7kNvwEPWUMl&_nc_gid=gu3ehlQ0DLb8xSw_RJRxTA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af0S3YLRti8PgfAHTlOlf9wNATZoe0GAIa3nqPGCdxh-UA&oe=69D4A660&_nc_sid=10d13b,https://www.instagram.com/p/DWpH7YGGFP7/,https://www.instagram.com/citylounge973/,The City Lounge,3866656621721048059,True,False
R&B Thursdays,2026-04-02,9:00 PM,The City Lounge & Restaurant,Newark,Central,Experience R&B Thursdays with live music and good vibes!,Music,"R&B Thursdays with music by THEJERSEYBOYS973, DJ YADII, DJ VON, and TCO.DYLANN. Ladies free until 10PM. Doors open at 9PM and close at 3AM.","['THEJERSEYBOYS973', 'DJ YADII', 'DJ VON', 'TCO.DYLANN']",Ladies Free until 10PM,0.95,False,citylounge973,https://www.instagram.com/p/DWpH7YGGFP7/,https://instagram.ftup1-1.fna.fbcdn.net/v/t51.82787-15/658362077_18347900437215374_2576781903627455304_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.ftup1-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2gH5u7Npj-jVmtSnEgLGpnhgtLpKxs9ABEvEbG6S8W4d5SqDej0Aer_yrxDpSvR554I&_nc_ohc=x4bGrzQKufoQ7kNvwEPWUMl&_nc_gid=gu3ehlQ0DLb8xSw_RJRxTA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af0S3YLRti8PgfAHTlOlf9wNATZoe0GAIa3nqPGCdxh-UA&oe=69D4A660&_nc_sid=10d13b,https://www.instagram.com/p/DWpH7YGGFP7/,https://www.instagram.com/citylounge973/,The City Lounge,3866656621721048059,True,False
