INSTAGRAM HANDLE,EVENT NAME,DATE,START TIME,VENUE NAME,CITY,SECTION OF NJ,NEWSLETTER DESCRIPTION,INSTAGRAM POST URL,DISPLAY URL,POST URL,INSTAGRAM PROFILE URL,EVENT TYPE,ACCOUNT NAME,DESCRIPTION,PERFORMER,PRICE,CONFIDENCE,POST ID,HAD OCR,FROM CALENDAR,IS RECURRING,PROCESSED TIMESTAMP
HOUSE157_,FRIDAY NIGHT DINNER,2026-03-27,,HOUSE 157 RESTAURANT & BAR,ROSELLE PARK,CENTRAL,START YOUR WEEKEND RIGHT WITH A DELICIOUS DINNER AT HOUSE 157!,https://www.instagram.com/p/DWZTQujEfPs/,https://scontent-ord5-2.cdninstagram.com/v/t51.82787-15/658853711_18121047607627901_8104083872238029760_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gHgyxGg8DZDy4i_QsIfZrYiy7hr48lNg93fnMPju8uMdnx050KDtMRiEwlfYpj_vvw&_nc_ohc=1xFQ83CNycsQ7kNvwFVbCb3&_nc_gid=-avFflohMe_JBsiE8ZAVhA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af1uPIyftWzZrL-QM9MYZT3XjkNxzNRZ0X9qGxfVOGX9CQ&oe=69D4B1EB&_nc_sid=10d13b,https://www.instagram.com/p/DWZTQujEfPs/,https://www.instagram.com/house157_/,DINNER,HOUSE 157 RESTAURANT & BAR,YOUR FRIDAY NIGHT DESERVES A PROPER DINNER. STEAK. SEAFOOD. SURF MEETS TURF. ALL WAITING FOR YOU AT HOUSE 157.,,,0.8,3862202867822752748,True,False,False,2026-04-02 21:25:11
CHERRYSLOUNGE_BAR_GRILL_,LIQUID BRUNCH,2026-03-29,,CHERRY'S LOUNGE,,,KICK OFF YOUR WEEKEND WITH A LIQUID BRUNCH AT CHERRY'S LOUNGE!,https://www.instagram.com/p/DWeR1GlDgIf/,https://scontent-ord5-3.cdninstagram.com/v/t51.71878-15/656454657_905448082300452_8495158364389608327_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gEtWG5tBLWPX7gn3wYx3X3FaT6I6asWTXq3ii19BmW7eaJY94MhB-rIILaOZ4w-YXU&_nc_ohc=GdGreNR_mlgQ7kNvwH0KFTn&_nc_gid=zg4zWIbuzRqYoe5wmMVq-g&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3VIg5dLnQ5mFdONj9FuQ8Dm1hTdCciLURSrXHsi4iPkA&oe=69D49A90&_nc_sid=10d13b,https://www.instagram.com/p/DWeR1GlDgIf/,https://www.instagram.com/cherryslounge_bar_grill_/,BRUNCH,CHERRY’S LOUNGE,YOUR WEEKEND PLANS SHOULD ALWAYS INCLUDE LIQUID BRUNCH @ CHERRY’S LOUNGE!,,,0.8,3863603946317546015,True,False,False,2026-04-02 21:25:11
HOUSE157_,BLOOM & BRUNCH,2026-03-29,,HOUSE 157 RESTAURANT & BAR,,,"EXPERIENCE A BEAUTIFUL BRUNCH FILLED WITH MIMOSAS, 90'S R&B, AND CREATIVE BOUQUET MAKING!",https://www.instagram.com/p/DWg9tD8kUP-/,https://scontent-ord5-2.cdninstagram.com/v/t51.82787-15/658628044_18121332781627901_1848123642070809651_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gE21-2vKbdRmkhhxVaUm11XPIl6cRUsLLFDOOPKszGjF1t6ibtaDdC4PDfMJXUydRY&_nc_ohc=_fU7sTzgXLMQ7kNvwF8PUPp&_nc_gid=6HreppJqc2YIlttTFVm65g&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3IhDpcD14jcgcriohCdKAWidTzH0zIpMbAUbqPHdnhyg&oe=69D4985F&_nc_sid=10d13b,https://www.instagram.com/p/DWg9tD8kUP-/,https://www.instagram.com/house157_/,BRUNCH,HOUSE 157 RESTAURANT & BAR,"A BEAUTIFUL BLOOM & BRUNCH EVENT FEATURING MIMOSAS, 90'S R&B, BOUQUET CREATION, AND A DELICIOUS BRUNCH, CELEBRATING WOMEN'S HISTORY MONTH.",,,0.9,3864359857734894590,True,False,False,2026-04-02 21:25:11
THEASHFORDJC,DJ CASPER NIGHT,2026-04-04,9:00 PM,THE ASHFORD,JERSEY CITY,NORTH,"EXPERIENCE TOP 40, HIP-HOP, AND LATIN VIBES WITH DJ CASPER AT THE ASHFORD!",https://www.instagram.com/p/DWpId_4D35u/,https://scontent-hou1-1.cdninstagram.com/v/t51.82787-15/658829421_18426238621187387_8717783748815450469_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gHAQwEmb27NT0CE6G4oVsObzU7kgPCsQPLTfa3OH2oH-I8K-lllbo_LYrBsPQz87EM&_nc_ohc=DJ2MmEpCC8kQ7kNvwHFF_KS&_nc_gid=_XhoJiKjT0tzWsVJiPrq9g&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af08dV3AbaWvmnfdMtBgurmWPZOq5nCsGVeDR7d8_2KNyw&oe=69D4AA74&_nc_sid=10d13b,https://www.instagram.com/p/DWpId_4D35u/,https://www.instagram.com/theashfordjc/,MUSIC,THE ASHFORD | RESTAURANT LOUNGE & ROOFTOP,"FLIRT. DANCE. REPEAT. NO RULES, JUST VIBES AT THE ASHFORD — WHERE JERSEY CITY COMES TO PARTY 💃🏽 TOP 40 X HIP-HOP X LATIN ALL NIGHT WITH SOUNDS BY DJ CASPER 🎶",DJ CASPER,,1.0,3866659000897470062,True,False,False,2026-04-02 21:25:11
LIFEAFTERRESTAURANT,HAPPY HOUR HITS: WHO SHOT YA COCKTAIL,2026-03-22,,LIFE AFTER RESTAURANT & LOUNGE,EDGEWATER,NORTH,TASTE THE CULTURE WITH EVERY SIP OF OUR HAPPY HOUR HITS: WHO SHOT YA COCKTAIL SHOTS!,https://www.instagram.com/p/DWMOoebDYcp/,https://scontent-mia5-1.cdninstagram.com/v/t51.82787-15/655237076_17970933464994194_1255532741080608279_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2gFdghzFpn6Uxo9Nbi-5mDpYHt1bwXHt7L9Q1m9Sme3yd1Gjx0tfuyh2Vf9dezsIad4&_nc_ohc=3kritfw53HIQ7kNvwFdJcCy&_nc_gid=OgnhfDrYVRA7Mu4EUjlBtA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3UUz0Y6SQum0HCvYtKDmpbdub6n_M9pjbzw1u6nHcrCg&oe=69D49517&_nc_sid=10d13b,https://www.instagram.com/p/DWMOoebDYcp/,https://www.instagram.com/lifeafterrestaurant/,FOOD & DRINK,LIFE AFTER RESTAURANT,EPISODE 4 FEATURING HAPPY HOUR HITS: WHO SHOT YA COCKTAIL SHOTS. EVERY COCKTAIL HAS A STORY.,,,0.9,3858523334846023465,False,False,False,2026-04-02 21:25:11
THEASHFORDJC,$19.95 LOBSTER SPECIAL,2026-04-03,5:00 PM,THE ASHFORD,JERSEY CITY,NORTH,INDULGE IN A DELICIOUS $19.95 LOBSTER SPECIAL EVERY THURSDAY!,https://www.instagram.com/p/DWpG9Z0jzwG/,https://scontent-ord5-2.cdninstagram.com/v/t51.71878-15/661168813_26313468425006038_403714714721315135_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2gHyW5Px4y46QMAfm_enMrCTShQGuSw_qN_aZXyyQFCKSJA1eJiuB4ps0DyC8a4FK_Y&_nc_ohc=b-76_oSH6WoQ7kNvwGbQQIQ&_nc_gid=-xvLR_LACpe3_QTj-WULFw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3Bn3DTF__1j0m2oetHI127pGedkagjXE7tpw6Q8R_Lww&oe=69D4957B&_nc_sid=10d13b,https://www.instagram.com/p/DWpG9Z0jzwG/,https://www.instagram.com/theashfordjc/,FOOD SPECIAL,THE ASHFORD | RESTAURANT LOUNGE & ROOFTOP,"SIMPLE, CLASSIC, AND WORTH IT. FRESH WHOLE LOBSTER, BAKED POTATO, CORN ON THE COB, HOUSE GARLIC BUTTER SAUCE.",,$19.95,0.9,3866652362966776838,True,False,True,2026-04-02 21:25:11
OFFICIAL_CLUBMARLOS,RNB THURSDAYYY,2026-04-03,5:00 PM,CLUB MARLOS,IRVINGTON,CENTRAL,GET YOUR WEEK STARTED RIGHT WITH RNB THURSDAYYY AT CLUB MARLOS!,https://www.instagram.com/p/DWpD7hEjo4E/,https://scontent-atl3-3.cdninstagram.com/v/t51.82787-15/659776537_18579333898028517_7600087801531090640_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gEh6nEKIzl49rUw32IhL2MSQY-wwWGOqgCqSI4nzbWNnV_CLpFSzIFNaFlkJUNcNjk&_nc_ohc=ReXr9CTCVhUQ7kNvwEWqr17&_nc_gid=4ZSRN60-n5NjdPoa-7QaJw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3TxDcuXgvu89sfii7kt0xaXcg8JXTroWHgCKuDvLiYdQ&oe=69D49C7B&_nc_sid=10d13b,https://www.instagram.com/p/DWpD7hEjo4E/,https://www.instagram.com/official_clubmarlos/,MUSIC,CLUB MARLOS,RNB THURSDAYYY WITH MUSIC BY @DJBIGDRIP43 @DJBMONEY973 AND HOOKAH BY @TOPLINEHOOKAH_.,"DJ BIG DRIP, DJ B MONEY",,1.0,3866639039172873732,True,False,True,2026-04-02 21:25:11
MAKEJERSEYHOUSEAGAIN,KELLIE ALLEN LIVE,2026-03-21,,MAKE JERSEY HOUSE AGAIN,ASBURY PARK,CENTRAL,EXPERIENCE AN UNFORGETTABLE NIGHT WITH KELLIE ALLEN'S MUSIC!,https://www.instagram.com/p/DWKuWKtjW0c/,https://scontent-mia3-3.cdninstagram.com/v/t51.82787-15/655230134_17967116955030332_3027426166334387029_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-mia3-3.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2gHzcVLFmS3Mn4VM3Ufl07BNmPxOl6DnfUz84moE9ixtR3TB7FVkiv4NMuK_RPiRASQ&_nc_ohc=5c1HkhOTGfgQ7kNvwH5OV17&_nc_gid=6sodsxTEwi-Yvp5aAgXwKw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3OZndb5uzqZyeG2sA_V3FH-Ae_dPIPtQdNcrxCxmTlmw&oe=69D4AAE8&_nc_sid=10d13b,https://www.instagram.com/p/DWKuWKtjW0c/,https://www.instagram.com/makejerseyhouseagain/,CONCERT,MAKE JERSEY HOUSE AGAIN,LAST NIGHT WITH @KELLIEALLENMUSIC WAS ONE FOR THE 📚📚📚 SUPER BIG THANK YOU TO EVERYONE THAT SHARED THE NIGHT WITH US!,@KELLIEALLENMUSIC,,0.9,3858099864265911580,True,False,False,2026-04-02 21:25:11
CITYLOUNGE973,HAPPY HOUR,2026-04-02,7:00 PM,THE CITY LOUNGE & RESTAURANT,NEWARK,CENTRAL,ENJOY HAPPY HOUR SPECIALS FROM 7PM-10PM TONIGHT!,https://www.instagram.com/p/DWpH7YGGFP7/,https://instagram.ftup1-1.fna.fbcdn.net/v/t51.82787-15/658362077_18347900437215374_2576781903627455304_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.ftup1-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2gH5u7Npj-jVmtSnEgLGpnhgtLpKxs9ABEvEbG6S8W4d5SqDej0Aer_yrxDpSvR554I&_nc_ohc=x4bGrzQKufoQ7kNvwEPWUMl&_nc_gid=gu3ehlQ0DLb8xSw_RJRxTA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af0S3YLRti8PgfAHTlOlf9wNATZoe0GAIa3nqPGCdxh-UA&oe=69D4A660&_nc_sid=10d13b,https://www.instagram.com/p/DWpH7YGGFP7/,https://www.instagram.com/citylounge973/,HAPPY HOUR,THE CITY LOUNGE,HAPPY HOUR FROM 7PM-10PM. AGE REQUIREMENT 21 AND UP. MUSIC BY @VDMSOUNDS @TCO.DYLANN. DRINKS BY @MALO_JR_. BUY 4 SHOTS GET 4 SHOTS FREE (SHOTBOAT ONLY). HOOKAH BY @ILLY.NY. CLOSES AT 2AM.,"['@vdmsounds', '@tco.dylann']",,0.9,3866656621721048059,True,False,False,2026-04-02 21:25:11
CITYLOUNGE973,R&B THURSDAYS,2026-04-02,9:00 PM,THE CITY LOUNGE & RESTAURANT,NEWARK,CENTRAL,EXPERIENCE R&B THURSDAYS WITH LIVE MUSIC AND GOOD VIBES!,https://www.instagram.com/p/DWpH7YGGFP7/,https://instagram.ftup1-1.fna.fbcdn.net/v/t51.82787-15/658362077_18347900437215374_2576781903627455304_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.ftup1-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2gH5u7Npj-jVmtSnEgLGpnhgtLpKxs9ABEvEbG6S8W4d5SqDej0Aer_yrxDpSvR554I&_nc_ohc=x4bGrzQKufoQ7kNvwEPWUMl&_nc_gid=gu3ehlQ0DLb8xSw_RJRxTA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af0S3YLRti8PgfAHTlOlf9wNATZoe0GAIa3nqPGCdxh-UA&oe=69D4A660&_nc_sid=10d13b,https://www.instagram.com/p/DWpH7YGGFP7/,https://www.instagram.com/citylounge973/,MUSIC,THE CITY LOUNGE,"R&B THURSDAYS WITH MUSIC BY THEJERSEYBOYS973, DJ YADII, DJ VON, AND TCO.DYLANN. LADIES FREE UNTIL 10PM. DOORS OPEN AT 9PM AND CLOSE AT 3AM.","['THEJERSEYBOYS973', 'DJ YADII', 'DJ VON', 'TCO.DYLANN']",LADIES FREE UNTIL 10PM,0.95,3866656621721048059,True,False,False,2026-04-02 21:25:11
