event_name,date,start_time,venue_name,city,section_of_nj,newsletter_description,event_type,description,performer,price,confidence,is_recurring,instagram_handle,instagram_post_url,display_url,post_url,instagram_profile_url,account_name,post_id,had_ocr,from_calendar
DJ HOOD & FRIENDS PT 3,2026-05-16,10:00 PM,XOX PHILLY,Philadelphia,,"Get ready for raw Jersey Club bounce, heavy bass, and pure chaos with DJ HOOD & FRIENDS!",Party,"Underground energy. No limits. Raw Jersey Club bounce, heavy bass, and nonstop drops. Expect a stacked lineup, packed dance floor, and pure chaos in the best way. This isn’t just a party — it’s a takeover. Pull up with your crew. Stay late.","DJ HOOD, BROX B2B L8NITE, ZOOBSTOOL, STARSTRUKDJ, DJ FROST BITE, K-DEUCEZ",,0.9,False,djhood,https://www.instagram.com/p/DXhPUYAERFw/,https://scontent-iad6-1.cdninstagram.com/v/t51.71878-15/673887653_26512030398462900_5147927050267429093_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-iad6-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gGnnaWppDbp6Qs4oR5uxl45eS0RCf6nFeV1l9q6jeHT4WMmHnvXzLdyF8lz2JfFLNo&_nc_ohc=9y-F8SJDLGsQ7kNvwFMiEQR&_nc_gid=B2_cLoI1hWwKJOQEz0ukLQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af1-_LytKnLX_pM9mlG5cwKMoKRQHOm23PRJ5ePwuKMINw&oe=69F5B0BB&_nc_sid=10d13b,https://www.instagram.com/p/DXhPUYAERFw/,https://www.instagram.com/djhood/,Dj Hood®,3882451724628201840,True,False
Ezzy Official First US Performance,2026-05-15,9:00 PM,412 Lounge Paterson,Paterson,North,Experience Ezzy Official's explosive first-ever US performance!,Concert,Ezzy Official arrives in the USA for his first-ever performance in the country. Best DJs in the area will be providing music all night long.,"['@ezzyrofficiallnew_', 'Best DJs of the Area']",,0.9,False,nick.get2it,https://www.instagram.com/p/DXYGPHnxpqx/,https://scontent-ord5-2.cdninstagram.com/v/t51.82787-15/671763326_18458384344098053_6561251060516212328_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gFl4CYJ2RqHHysbBwPmU2zO2eXb8ByxQxlyMX8j6ZnjcaQlSvhnZd6H9Meo5ds4cFE&_nc_ohc=RspuZ4yxyzMQ7kNvwHR326T&_nc_gid=Eogw2Jsxezat71yL5QGT7A&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af2Eb2tV9RhsQ29E-IPuADr4sqAli5RmKnYNYHC9Bhqc8A&oe=69F5D4AD&_nc_sid=10d13b,https://www.instagram.com/p/DXYGPHnxpqx/,https://www.instagram.com/nick.get2it/,Nicholas Espaillat,3879878506234419889,True,False
Miércoles de Mamasotas,2026-04-22,9:00 PM,412 Lounge Paterson,Paterson,North,Get ready for the wildest party of the week at 412 Lounge this Wednesday!,Party,"¡MIÉRCOLES DE MAMASOTAS EN 412 LOUNGE! EL PARTY MÁS DURO DE LA SEMANA. La música la ponen @dj_infamusic ❌ @fivestarsdj. Ritmo, energía y flow toda la noche. 412 Main St, Paterson, NJ. De 9PM a 3AM.","DJ Infamusic, Five Star DJ",,0.9,False,412loungepaterson,https://www.instagram.com/p/DXX7zqsACh7/,https://scontent-lga3-3.cdninstagram.com/v/t51.71878-15/671191180_1240934874783784_4940758443732831063_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2gFhsj4JvM-Y95sEjU-C3E35wNJg7rb9tE-tpMIHENr5xIGSlr5kIQxRi5ppwDIC4qQ&_nc_ohc=bRH7p5MFA-oQ7kNvwH71Hai&_nc_gid=2rgAOlgFSHtM5APQ-pxNDQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af2d2RUbwzViZyoWO0rRjX8YvjFMifxA68AsyCnwWzQSBQ&oe=69F5DB92&_nc_sid=10d13b,https://www.instagram.com/p/DXX7zqsACh7/,https://www.instagram.com/412loungepaterson/,412 Lounge Paterson,3879832639275804795,True,False
Graduation Afterparty,2026-05-15,10:00 PM,Royce Social Hall,Atlantic City,South,Celebrate your graduation with an epic afterparty at The Royce!,Party,"Calling all graduates! Come celebrate your special achievement with us. Featuring Afrobeats, Dancehall, Soca, Kompa, and Amapiano. Tickets available in bio. 21+ | Dress Code Enforced.",,,1,False,iceboxclivvv,https://www.instagram.com/p/DXkm-U7jhSe/,https://scontent-msp1-1.cdninstagram.com/v/t51.82787-15/682723746_18553332994071412_6400179363086198938_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-msp1-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2gHreyauv0zQx-lNxwaVCloAMPY7gDaVT9daeQOTlDGAV6m-qRNef-_D5ZiR7jSe4rQ&_nc_ohc=I4SrF6F1gkcQ7kNvwE89ToW&_nc_gid=wQZuFdLoLXbKqkZNdEFVKA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af2f4qI5fqxnATFdH8Xu-8VjLMPaGCFGjd6qqBi_5qUkYw&oe=69F5D20B&_nc_sid=10d13b,https://www.instagram.com/p/DXkm-U7jhSe/,https://www.instagram.com/iceboxclivvv/,✨Clivvv✨,3883400187549193374,True,False
Behind the Jersey with UNICORN 151,2026-04-23,,"New Jersey, USA",Newark,North,"Hear the inspiration, meaning, and vision behind the jersey from a finalist!",other,"Behind the Jersey with @unicorn151. Hear the inspiration, the meaning, and the vision behind the jersey as this finalist breaks it all down. Watch the story. Feel the inspiration. Then decide where your vote goes.",,,0.8,False,officialnjsoccerkit,https://www.instagram.com/p/DXfNcS5P0jr/,https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/680002318_18003242153858436_6243484146224840337_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gEcOyVAe4NQLZNpZJW_uxJI6Cytpe8JVacpQCkW60rTJNM9fxVLAtGLVDe5VAS1JTM&_nc_ohc=amEkBxeJ9tcQ7kNvwFQ_1ST&_nc_gid=PoeJk-lI71pKONWRAGKJfQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af1BpL67l9ZlVfqyq37LFf8ddnKDapnFGgHfZVDjKthLIQ&oe=69F5C38D&_nc_sid=10d13b,https://www.instagram.com/p/DXfNcS5P0jr/,https://www.instagram.com/officialnjsoccerkit/,The Official NJ Soccer Kit,3881880522854451435,True,False
The-Dream Debut Album & Classics,2026-04-25,11:00 PM,apt4batl,Atlanta,,"Experience new music from The-Dream before the world hears it, plus classics! Bar open 11PM-12AM.",Music,"Debuting new music from The-Dream before the world hears it, alongside the classics from his debut album & beyond. The bar is open for one hour (11PM - 12AM).",The-Dream,,1,False,4loversonly.us,https://www.instagram.com/p/DXkMwUckbws/,https://scontent-atl3-3.cdninstagram.com/v/t51.82787-15/674577965_18402647011144163_4339362587899058737_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gGX146tsnzQGjY3lOnJBYQmnhuzaK_5REHjH6IbLKnX_cms8hSorjl_93BuHMDAC6k&_nc_ohc=9IKg5546JiQQ7kNvwHARemX&_nc_gid=Ea2nl8kng5iGCh56BFeCug&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af2RlWF7gHS4YBgdlS5zjPZbtwf9HzMP5xHRkGwmgllmcA&oe=69F5DF51&_nc_sid=10d13b,https://www.instagram.com/p/DXkMwUckbws/,https://www.instagram.com/4loversonly.us/,4 Lovers Only,3883284875747376172,True,False
NJ Soccer Kit Design Competition Voting,2026-04-27,,thenjsoccerkit.com,,,Vote for your favorite NJ Soccer Kit design and help it climb the standings!,Competition,"Update of voting standings. The final spot is still up for grabs. Vote for the Jersey, Share with your friends, Help your favorite design climb the standings. Who’s taking the top spot? Keep the votes coming.",,,1,False,officialnjsoccerkit,https://www.instagram.com/p/DXpjECNCeLF/,https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/682048170_18003414911858436_4745394981812632240_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gHrL0-Bhkk0IIGcFtlc6fYMXLjUHq2tCGY0DKRAyXnxnvfBN1VkwfwHSFrJOitKS6E&_nc_ohc=J_hd1DJ8JSQQ7kNvwFQX_yd&_nc_gid=HsU2BDOA-4VQ8BHNlxlyTg&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af2O-JjcodtfW8RU3KuA3eDtik-bw1-aSgE0bRhfO8Pp4A&oe=69F5CEA6&_nc_sid=10d13b,https://www.instagram.com/p/DXpjECNCeLF/,https://www.instagram.com/officialnjsoccerkit/,The Official NJ Soccer Kit,3884790362455794373,True,False
Breakfast,,,"Montclair, New Jersey",Montclair,Central,Start your day right with a delicious breakfast at Allegory!,Food,Breakfast service available.,,,0.8,True,allegory_mc,https://www.instagram.com/p/DXeq5YJDnm1/,https://scontent-bos5-1.cdninstagram.com/v/t51.82787-15/673117952_18136883287518789_6436086610796639881_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFLHvIOT2RPcow9H7cvXatozcsEZOwcjUcUWi3RIor2j8Jcv6-7q-T_hOdy-Huttjw&_nc_ohc=Qn57495QiTkQ7kNvwGw140-&_nc_gid=0Ymx-EipOtKT01qN4btFUQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af07SCudbxY8M8uh1eF63J3NIsLNEgN7BKF_oIKHkq8g5A&oe=69F5C58A&_nc_sid=10d13b,https://www.instagram.com/p/DXeq5YJDnm1/,https://www.instagram.com/allegory_mc/,Allegory at The MC,3881728589725333941,True,False
Lunch,,,"Montclair, New Jersey",Montclair,Central,Enjoy a perfect midday meal with our lunch offerings!,Food,Lunch service available.,,,0.8,True,allegory_mc,https://www.instagram.com/p/DXeq5YJDnm1/,https://scontent-bos5-1.cdninstagram.com/v/t51.82787-15/673117952_18136883287518789_6436086610796639881_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFLHvIOT2RPcow9H7cvXatozcsEZOwcjUcUWi3RIor2j8Jcv6-7q-T_hOdy-Huttjw&_nc_ohc=Qn57495QiTkQ7kNvwGw140-&_nc_gid=0Ymx-EipOtKT01qN4btFUQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af07SCudbxY8M8uh1eF63J3NIsLNEgN7BKF_oIKHkq8g5A&oe=69F5C58A&_nc_sid=10d13b,https://www.instagram.com/p/DXeq5YJDnm1/,https://www.instagram.com/allegory_mc/,Allegory at The MC,3881728589725333941,True,False
Dinner,,,"Montclair, New Jersey",Montclair,Central,Unwind and savor your evening with our exquisite dinner menu!,Food,Dinner service available.,,,0.8,True,allegory_mc,https://www.instagram.com/p/DXeq5YJDnm1/,https://scontent-bos5-1.cdninstagram.com/v/t51.82787-15/673117952_18136883287518789_6436086610796639881_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFLHvIOT2RPcow9H7cvXatozcsEZOwcjUcUWi3RIor2j8Jcv6-7q-T_hOdy-Huttjw&_nc_ohc=Qn57495QiTkQ7kNvwGw140-&_nc_gid=0Ymx-EipOtKT01qN4btFUQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af07SCudbxY8M8uh1eF63J3NIsLNEgN7BKF_oIKHkq8g5A&oe=69F5C58A&_nc_sid=10d13b,https://www.instagram.com/p/DXeq5YJDnm1/,https://www.instagram.com/allegory_mc/,Allegory at The MC,3881728589725333941,True,False
