INSTAGRAM HANDLE,EVENT NAME,DATE,START TIME,VENUE NAME,CITY,SECTION OF NJ,NEWSLETTER DESCRIPTION,INSTAGRAM POST URL,DISPLAY URL,POST URL,INSTAGRAM PROFILE URL,EVENT TYPE,ACCOUNT NAME,DESCRIPTION,PERFORMER,PRICE,CONFIDENCE,POST ID,HAD OCR,FROM CALENDAR,PROCESSED TIMESTAMP
BGCMERCER,BGC SUMMER CAMP,2026-02-25,,,,CENTRAL,DIVE INTO A SUMMER OF ADVENTURE WITH BGC SUMMER CAMP!,https://www.instagram.com/p/DVL2WE1jTma/,https://scontent-sea5-1.cdninstagram.com/v/t39.30808-6/631193241_1371511305008607_5341843877735470390_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=scontent-sea5-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QF5uQ6ghyn2QTq5z1E4R0lR_-c-aMGFPNkiR-AZd-kM_VmGiOuR51BAfFjFpyoDWiI&_nc_ohc=1ZK31He3TTUQ7kNvwF2ISuY&_nc_gid=KYQQzuMeSBCwRxiKycLyZw&edm=APs17CUAAAAA&ccb=7-5&oh=00_Afu_MNa9sFMwbLsEnoRLFKudYYCOcWyYpRPj2vPp2OcBAg&oe=69A5642E&_nc_sid=10d13b,https://www.instagram.com/p/DVL2WE1jTma/,https://www.instagram.com/bgcmercer/,CAMP,BOYS & GIRLS CLUBS OF MERCER,"EVERY WEEK OF BGC SUMMER CAMP BRINGS NEW EXPERIENCES, EXCITING FIELD TRIPS, GAMES, CRAFTS, HANDS-ON ACTIVITIES, AND EXCITEMENT. CAMPERS HAVE SOMETHING NEW TO EXPLORE EACH WEEK.",,,0.8,3840402118796982682,True,False,2026-02-26 02:59:29
BGCMERCER,GREAT FUTURES CELEBRATION,2026-03-05,,COBBLESTONE CREEK COUNTRY CLUB,LAWRENCEVILLE,CENTRAL,HELP SELECT THE YOUTH OF THE YEAR WINNER AT THE GREAT FUTURES CELEBRATION!,https://www.instagram.com/p/DVMYovvDX0j/,https://scontent-mia5-2.cdninstagram.com/v/t39.30808-6/640941700_1382941467198924_7706058008781357301_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=scontent-mia5-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QHWDPIsntmG4ycMbE3TEyQj2OCqdBVe_kA6EuKVxEdclod1mJwgnW16XfjLulQ2YRs&_nc_ohc=of8qP7Xxh-MQ7kNvwEYNaea&_nc_gid=DRYdJlppnm0BjCwkoyBmdA&edm=APs17CUAAAAA&ccb=7-5&oh=00_Afvx9Mw9BcL9Q3vXXjBYOTHBxnz9LVDD-khFasy-gm_wmA&oe=69A574C2&_nc_sid=10d13b,https://www.instagram.com/p/DVMYovvDX0j/,https://www.instagram.com/bgcmercer/,CELEBRATION,BOYS & GIRLS CLUBS OF MERCER,THE GREAT FUTURES CELEBRATION WILL FEATURE THE 3 FINALISTS WHO WILL SPEAK FOR THE YOUTH OF THE YEAR AWARD. THERE WILL BE A LIVE AUDIENCE VOTE TO HELP SELECT THE WINNER.,,,0.9,3840552935390805283,True,False,2026-02-26 02:59:29
BGCMERCER,SUPPORT POWER HOUR PROGRAM AT ROSS DRESS FOR LESS,2026-03-01,,ROSS DRESS FOR LESS,,CENTRAL,SHOP AT ROSS NOW THROUGH MARCH 1ST AND SUPPORT LOCAL CLUB KIDS!,https://www.instagram.com/p/DVG5NrPD14Q/,https://scontent-iad3-1.cdninstagram.com/v/t39.30808-6/640995583_1382884590537945_2996493341687145444_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QGm6bKxjBMepi8rDAUFjavnGy_55aMeJsaNAUMLn0sCTm5ok_zsZTw-ns3vMcLop2E&_nc_ohc=Sk_gW8V3mK8Q7kNvwH7il2t&_nc_gid=nSs93PxAGkF5bpmSR2VOzw&edm=APs17CUAAAAA&ccb=7-5&oh=00_AfvXDjI32_4Hrd12ahCQqSAVLR7qFmqjKwzWzCI5MTaO3A&oe=69A5956F&_nc_sid=10d13b,https://www.instagram.com/p/DVG5NrPD14Q/,https://www.instagram.com/bgcmercer/,DONATION DRIVE,BOYS & GIRLS CLUBS OF MERCER,"NOW THROUGH MARCH 1ST, YOU CAN ADD A DONATION AT CHECKOUT AT ROSS DRESS FOR LESS. YOUR GIFT SUPPORTS @BGCMERCER’S POWER HOUR PROGRAM, PROVIDING HOMEWORK HELP AND TUTORING SO LOCAL CLUB KIDS CAN SUCCEED IN SCHOOL.",,,0.8,3839007360807820816,True,False,2026-02-26 02:59:29
BGCMERCER,6TH ANNUAL GREAT FUTURES CELEBRATION,2026-03-05,,COBBLESTONE CREEK COUNTRY CLUB,LAWRENCEVILLE,CENTRAL,JOIN THE BOYS & GIRLS CLUBS OF MERCER COUNTY FOR THEIR 6TH ANNUAL GREAT FUTURES CELEBRATION!,https://www.instagram.com/p/DVHqhC8jBDX/,https://scontent-lax3-2.cdninstagram.com/v/t39.30808-6/635006917_1376815944478143_200871667143161036_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QE2JKyrPNLiiBrjxdPrM8OoXwRls2BIHbIp4WOy4FluS4V37Cz5Mam88A2sQQzb6YE9X3PkywxKRWY9-5QLso1k&_nc_ohc=XkU09VDG5k0Q7kNvwEBJIfo&_nc_gid=BUNj1ZdsqMtEDk0gIexjWQ&edm=APs17CUAAAAA&ccb=7-5&oh=00_AfuU5vPJlU0VHDvpmCuyrWMtf6RaWWgY8ExqLAsFOWAd6A&oe=69A56445&_nc_sid=10d13b,https://www.instagram.com/p/DVHqhC8jBDX/,https://www.instagram.com/bgcmercer/,CELEBRATION,BOYS & GIRLS CLUBS OF MERCER,"THE 6TH ANNUAL GREAT FUTURES CELEBRATION, A SIP & SAVOR EXPERIENCE, IS AN EVENT TO GATHER COMMUNITY LEADERS, LOCAL BUSINESSES, AND EVENT SPONSORS TO INVEST IN THE FUTURE OF YOUTH.",,,0.9,3839224196216131799,True,False,2026-02-26 02:59:29
CREMETRUCK,GRAND OPENING OF AFROBEETS JUICE CO.,2026-02-24,,AFROBEETS JUICE CO.,EAST ORANGE,NORTH,GET YOUR FRESH JUICE FIX AT THE BRAND NEW AFROBEETS JUICE CO. IN EAST ORANGE!,https://www.instagram.com/p/DVJzzPKDyqy/,https://scontent-iad3-1.cdninstagram.com/v/t51.71878-15/642388980_1253565872890354_8144460187941353086_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QF8pKBhF5QfJOpEVtXHryH7vZGJwmiqYmLCZhm6yEkdbqBBNY6y7vnv8496DGpAkrw&_nc_ohc=9NvtBIpkOPsQ7kNvwFoUA12&_nc_gid=wdXrcGVWEKsj1vfGUXUaxA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AftqmPZYUnGYi0Box7Kz4_7DsUVijQEzbZVUy7A-H8_p2A&oe=69A5770F&_nc_sid=10d13b,https://www.instagram.com/p/DVJzzPKDyqy/,https://www.instagram.com/cremetruck/,GRAND OPENING,CREMETRUCK,"AFROBEETS JUICE CO. IS A BRAND NEW LOCAL JUICE SHOP LOCATED AT 160 TREMONT AVE, EAST ORANGE, NJ 07018. KNOWN THEIR SPECTACULAR AÇAÍ BOWLS, SMOOTHIES, AND FRESHLY MADE JUICES AND HEALTHIER DRINK OPTIONS.",,,0.8,3839827978650331826,True,False,2026-02-26 02:59:29
BGCMERCER,GREAT FUTURES CELEBRATION,2026-03-05,,COBBLESTONE CREEK COUNTRY CLUB,LAWRENCEVILLE,CENTRAL,BE THERE TO VOTE FOR THE YOUTH OF THE YEAR AT THE GREAT FUTURES CELEBRATION!,https://www.instagram.com/p/DVJMsufE1eW/,https://scontent-atl3-1.cdninstagram.com/v/t39.30808-6/641380303_1382935233866214_8795846458357042127_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QGMMlMdb_hf9wz84j_UMO-So1uwO5oEdRB_VlhYC_Byy4HFIWsbEGvI4_03b2TG9Ao&_nc_ohc=kqc8tgrCeWYQ7kNvwErGl5M&_nc_gid=F7VNTvR_6GWJ8GJy4Bwnfw&edm=APs17CUAAAAA&ccb=7-5&oh=00_Afs60LMb0t0zNBUfajfjw-8_giwzuUcdDoYmql6E8hT51w&oe=69A56508&_nc_sid=10d13b,https://www.instagram.com/p/DVJMsufE1eW/,https://www.instagram.com/bgcmercer/,CELEBRATION,BOYS & GIRLS CLUBS OF MERCER,THE GREAT FUTURES CELEBRATION WILL FEATURE THE 3 FINALISTS FOR YOUTH OF THE YEAR. ATTENDEES WILL HAVE A LIVE AUDIENCE VOTE TO HELP SELECT THE WINNER.,,,0.9,3839656007438653334,True,False,2026-02-26 02:59:29
CITYLOUNGE973,FRIDAY NIGHT AFTER DARK,2026-02-27,7:00 PM,THE CITY LOUNGE,NEWARK,NORTH,GET READY FOR A VIBRANT FRIDAY NIGHT AT CITY LOUNGE WITH ELECTRIFYING MUSIC AND AMAZING DEALS!,https://www.instagram.com/p/DVEo0wVkkBD/,https://scontent-lga3-1.cdninstagram.com/v/t51.82787-15/638308806_18342069718215374_287627532647679960_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QGrfO9XMCq8akt-0y5bnBwYWIjG7wvcgWrISXyez1Y5iQRbLlyolfvwsEZW3-TQY_c&_nc_ohc=QSZttLookwAQ7kNvwEiZq97&_nc_gid=EVjdzFRMjee4REMuvPGvYQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfutLUbOLzOXoEc9Legoo0ACMrDrEBjg25ca7olCTf-qwQ&oe=69A576F5&_nc_sid=10d13b,https://www.instagram.com/p/DVEo0wVkkBD/,https://www.instagram.com/citylounge973/,NIGHTLIFE,THE CITY LOUNGE,"FRIDAY NIGHT AFTER DARK WITH DOORS OPENING FROM 7 PM TO 3 AM. FEATURES HAPPY HOUR FROM 7 PM TO 10 PM. SOUNDS BY @LETSGOSHU, @DJNOSO, AND @DJDUNCANN_. SPECIAL OFFER OF 2 FOR $350 BOTTLES OF DON REP PRESOLD. BOTTLES BY @KISSMYBLEEP. DRINKS BY @DRINKSWITHTONYA AND @S.IYY_. HOOKAH BY @MISS_SHAN84. FOOD BY @ANYTHINGGOZCATERING. FREE ENTRY UNTIL 10 PM. RESERVATIONS VIA DM TO @CITYLOUNGE973 OR @MR_ELI_TO_YOU.","['@letsgoshu', '@djnoso', '@djduncann_']",$350 FOR 2 BOTTLES (PRESOLD),1.0,3838372329601253443,True,False,2026-02-26 02:59:29
B0CKMAN,BAD IDEA,2026-03-15,,,,,GET READY FOR BAD IDEA WITH NOBODY AND PRODUCTION BY BOCKMAN!,https://www.instagram.com/p/DVBscbxkfss/,https://scontent-det1-1.cdninstagram.com/v/t51.71878-15/637278437_1919611898941768_9066454672179867714_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QGTPY40YAtcqKs101qNbnHrHy_W5zFpWqxoAGgexRuVKhz2tPoRNE2mZuPnY7UMpZ4&_nc_ohc=ddqmjR4rU3sQ7kNvwGgAshp&_nc_gid=q417p88eNyT1HJFFsCJeyg&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afv8xQIvR_bL6KQpxNOYkB9EUcMpWU3V-SQVFZCwACAk5w&oe=69A57F88&_nc_sid=10d13b,https://www.instagram.com/p/DVBscbxkfss/,https://www.instagram.com/b0ckman/,MUSIC,BOCKMAN,"BAD IDEA BY NOBODY, PRODUCTION BY BOCKMAN.",@N0B0DY416,,1,3837543825510890284,True,False,2026-02-26 02:59:29
CRABBAEMAPLEWOOD,CRABBAE MAPLEWOOD IS CLOSED,2026-02-25,,CRABBAE,MAPLEWOOD,CENTRAL,"MAPLEWOOD LOCATION CLOSED TODAY, HEAD TO KENILWORTH!",https://www.instagram.com/p/DVLvCgnEYbH/,https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/628594906_18396040900183267_1271841199658602529_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QGXiV7Xu4nYFq2LFzdAXUkeO5Li_DrUSze5HX994cv2bW0S9hf7tYFKX6d6WqNsbRM&_nc_ohc=dut7DBkkpUcQ7kNvwGBzMr6&_nc_gid=gVheK227he9H_xAb_p7sAQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfuA4qx5taSqELLIYpqY4ynPu9YgWKDQYI-ApiQV7UFQXg&oe=69A58AB1&_nc_sid=10d13b,https://www.instagram.com/p/DVLvCgnEYbH/,https://www.instagram.com/crabbaemaplewood/,CLOSURE,165 FRANKLIN TERRACE MAPLEWOOD NJ,CRABBAE MAPLEWOOD IS CLOSED TODAY. PLEASE VISIT CRABBAE KENILWORTH.,,,0.9,3840369987903653575,True,False,2026-02-26 02:59:29
CRABBAEMAPLEWOOD,CRABBAE KENILWORTH OPEN,2026-02-25,,CRABBAE KENILWORTH,KENILWORTH,CENTRAL,CRABBAE KENILWORTH IS OPEN AND READY TO SERVE YOU!,https://www.instagram.com/p/DVLvCgnEYbH/,https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/628594906_18396040900183267_1271841199658602529_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QGXiV7Xu4nYFq2LFzdAXUkeO5Li_DrUSze5HX994cv2bW0S9hf7tYFKX6d6WqNsbRM&_nc_ohc=dut7DBkkpUcQ7kNvwGBzMr6&_nc_gid=gVheK227he9H_xAb_p7sAQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfuA4qx5taSqELLIYpqY4ynPu9YgWKDQYI-ApiQV7UFQXg&oe=69A58AB1&_nc_sid=10d13b,https://www.instagram.com/p/DVLvCgnEYbH/,https://www.instagram.com/crabbaemaplewood/,OPENING,165 FRANKLIN TERRACE MAPLEWOOD NJ,CRABBAE KENILWORTH IS OPEN AND READY TO SERVE YOU!,,,0.9,3840369987903653575,True,False,2026-02-26 02:59:29
