INSTAGRAM HANDLE,EVENT NAME,DATE,START TIME,VENUE NAME,CITY,SECTION OF NJ,NEWSLETTER DESCRIPTION,INSTAGRAM POST URL,DISPLAY URL,POST URL,INSTAGRAM PROFILE URL,EVENT TYPE,ACCOUNT NAME,DESCRIPTION,PERFORMER,PRICE,CONFIDENCE,POST ID,HAD OCR,FROM CALENDAR,IS RECURRING,PROCESSED TIMESTAMP
BRVSHCUL7UR3,CURTIS BROTHERS JAZZ NIGHT,2026-05-01,8:00 PM,BRVSH CUL7UR3,TEANECK,NORTH,GRAMMY-WINNING CURTIS BROTHERS BRING JAZZ VIBES TO BRVSH CUL7UR3!,https://www.instagram.com/p/DXPR8loje3z/,https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/671172413_18132496849543512_700916347375806402_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gGfoLaCJCTXrg9cdEZL7vuK_UnaDaiuMnEPTvYsuuehF0zIqGTZMAVEnIHmQhBh1P4&_nc_ohc=vYcgCdVeuRsQ7kNvwH8CIZH&_nc_gid=1tTDM3EWzcqxwWFAjKnN8Q&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3bAiDV3UxB0ZY3X0Z6IoKBznwNlDvpMYZCoQPtZ9bwHw&oe=69EFF761&_nc_sid=10d13b,https://www.instagram.com/p/DXPR8loje3z/,https://www.instagram.com/brvshcul7ur3/,MUSIC,BRVSH CUL7UR3,THE GRAMMY-WINNING CURTIS BROTHERS @LUQUESC AND @CAICURTIS ARE BRINGING JAZZ VIBES TO THE STAGE.,CURTIS BROTHERS,,1,3877396734557416947,True,False,False,2026-04-23 15:59:50
OFFICIAL_CLUBMARLOS,GROWN FOLKS COMEDY DAY SHOW,2026-05-03,6:00 PM,CLUB MARLOS,IRVINGTON,CENTRAL,LAUGH YOUR SUNDAY AWAY WITH THE GROWN FOLKS COMEDY DAY SHOW!,https://www.instagram.com/p/DXX7A5oDqTW/,https://scontent-iad6-1.cdninstagram.com/v/t51.71878-15/670660206_892437090518826_182452279334416383_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-iad6-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2gF5A0EcMvXI0X9Ch4K5bToXJFme5o5y9MI8EnyFp7XN2ZohEcUK0p8AUCRMPgZyzJo&_nc_ohc=uCSjP42refoQ7kNvwH7D7C-&_nc_gid=4932d7YFOS1cht2ICUa4Yg&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3DIk-vq7KfykryBOgnx_j9St6Vkk6F0_wOkmRSXlXErg&oe=69EFEE8B&_nc_sid=10d13b,https://www.instagram.com/p/DXX7A5oDqTW/,https://www.instagram.com/official_clubmarlos/,COMEDY,CLUB MARLOS,"KAB ENTERTAINMENT PRESENTS GROWN FOLKS COMEDY DAY SHOW FEATURING HEADLINER COMEDIENNE MUGGA PHOENIX, DEREAL, HOSTED BY DESI JOHNSON, MUSIC BY CJ CRAXX DJ TAMEIL. DOORS OPEN @ 5PM, SHOWTIME @ 6PM. 2 ITEM MINIMUM.","MUGGA PHOENIX, DEREAL, DESI JOHNSON, CJ CRAXX, DJ TAMEIL",$20,0.8,3879829150622459094,True,False,False,2026-04-23 15:59:50
BRVSHCUL7UR3,LIVE JAZZ WITH ELLIOT BERNARD,2026-04-29,7:00 PM,BRVSH CUL7UR3,TEANECK,NORTH,EXPERIENCE PIANO-DRIVEN JAZZ WITH ELLIOT BERNARD AND CRAFT COCKTAILS AT BRVSH CUL7UR3!,https://www.instagram.com/p/DXQCc_xEz1M/,https://scontent-atl3-1.cdninstagram.com/v/t51.82787-15/672337944_18132525661543512_7971956240824021873_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gHijDXP7Ocu3aGR-NyVddYNitPzg5PIjdLHKmFgzRNn-JdhmONORXZuPq2SGRvOgBw&_nc_ohc=LFVe0M4aC9oQ7kNvwH2IBwS&_nc_gid=MDFisTYtKkI7TZZIJ2yhgQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af00YGyS-1RvsUE4mMNDyDAB6XS-lPBuRC_Oiccrri98hQ&oe=69EFE40C&_nc_sid=10d13b,https://www.instagram.com/p/DXQCc_xEz1M/,https://www.instagram.com/brvshcul7ur3/,LIVE MUSIC,BRVSH CUL7UR3,"LIVE JAZZ WITH ELLIOT BERNARD. PIANO-DRIVEN ENERGY, GREAT COCKTAILS, AND THE RIGHT ROOM.",ELLIOT BERNARD,TICKETS AVAILABLE AT WWW.BRVSHCUL7UR3.COM,1,3877610067873447244,True,False,False,2026-04-23 15:59:50
HUDSONHALLJC,FIFA WORLD CUP HQ,2026-05-31,,HUDSON HALL,JERSEY CITY,NORTH,GET READY FOR THE FIFA WORLD CUP - HUDSON HALL IS YOUR HQ!,https://www.instagram.com/p/DXM0jsXACWc/,https://scontent-phl2-1.cdninstagram.com/v/t51.82787-15/670689765_18430669540191809_6051915347292037364_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-phl2-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gF3LesbXQjM95CxWUQXzD7niT2V8bGERbyFhf-RShw0wOYePLlXnDECCZKMBgkhT0k&_nc_ohc=WaFuLmfAbRkQ7kNvwEB56MA&_nc_gid=WnipkMYooq_cFtOrhTpf9g&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af21znFaHU1UgzPlgPmtee8gZRS48nrZgA3SyHuRQY1HQw&oe=69EFE747&_nc_sid=10d13b,https://www.instagram.com/p/DXM0jsXACWc/,https://www.instagram.com/hudsonhalljc/,SPORTS VIEWING,HUDSON HALL JERSEY CITY,HUDSON HALL BECOMES YOUR FIFA WORLD CUP HEADQUARTERS.,,,0.8,3876704530489943452,True,False,False,2026-04-23 15:59:50
OFFICIAL_CLUBMARLOS,$2 TUESDAY PARTY,2026-04-22,5:00 PM,CLUB MARLOS,,,CELEBRATE $2 TUESDAY AT CLUB MARLOS WITH DRINK SPECIALS AND A FREE BUFFET FOR PARTIES OF 10+!,https://www.instagram.com/p/DXX7dvQlKLG/,https://scontent-lga3-1.cdninstagram.com/v/t51.82787-15/670908897_18583650400028517_6510602474017928249_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gGEk-vtRoSIjoTCeGYKty7ZukSvpf0vRnK-vDZtp-aHhRqdlyKOM77eL7rxoscdinY&_nc_ohc=NUfIGjIvOBgQ7kNvwFmJbPc&_nc_gid=Jf2EoWGh_a98mI2zFgrDeA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3lCyHlmkPGfHK2QpHUnu5k-CdmEp4c14c3Usrk1Xe0gg&oe=69EFFB42&_nc_sid=10d13b,https://www.instagram.com/p/DXX7dvQlKLG/,https://www.instagram.com/official_clubmarlos/,PARTY,CLUB MARLOS,"BOOK YOUR FREE PARTY ON A $2 TUESDAY!!!! IT’S ALWAYS A VIBE🔥🔥DRINK SPECIALS UNTIL 12AM🔥🔥🔥 FREE BUFFET PARTY OF 10 OR MORE ""PARTY OF 10+ MORE NO EXCEPTIONS"" KITCHEN OPEN UNTIL 12:30 HOOKAH |$2 DRINKS 5PM- MUSIC POWERED BY MUSTAFAH OPEN TIL 2AM 12AM",MUSTAFAH,$2 DRINKS,1,3879831132355994310,True,False,True,2026-04-23 15:59:50
AFRO_TACO,AFROTACO - FULL MENU,2026-04-18,,AFROTACO,NEWARK,CENTRAL,"GET YOUR FIX AT AFROTACO WITH OUR FULL MENU INCLUDING SNAPPER, LAMB, AND SCALLOPS!",https://www.instagram.com/p/DXRnaZpkVG7/,https://scontent-dfw5-2.cdninstagram.com/v/t51.71878-15/670289044_2148713255945064_5855298096578036371_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gE444_3cNy_bclL8AajFZFHbue6MeR0Y36GVZoOzPMWu0K3wHPX-L7GK91HFAfXl1w&_nc_ohc=wkmWI49SXvcQ7kNvwGVzosO&_nc_gid=GCH0-R6T5VfDsi5VOxRnvA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af1ae2YjNQSUESZoPWfx8t1nVCKFRyJlAUeb8TRxlyFUfw&oe=69EFEBD7&_nc_sid=10d13b,https://www.instagram.com/p/DXRnaZpkVG7/,https://www.instagram.com/afro_taco/,FOOD SPECIAL,CLIFF MILLS 973-803-3764,"TODAY WE HAVE THE FULL MENU!! SNAPPER, LAMB, SCALLOPS AND MORE!!!",,,0.9,3878054092203971003,False,False,False,2026-04-23 15:59:50
BRVSHCUL7UR3,MAURICE MOSLEY LIVE,2026-04-23,7:00 PM,BRVSH CUL7UR3,TEANECK,NORTH,"EXPERIENCE THE DYNAMIC, FEEL-DRIVEN SOUND OF GUITARIST MAURICE ""JAZZ ONE"" MOSLEY LIVE AT BRVSH CUL7UR3!",https://www.instagram.com/p/DXM0GYTE9Wx/,https://scontent-mia5-2.cdninstagram.com/v/t51.82787-15/670589565_18132403282543512_3670024689184436762_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-mia5-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gEw3QOaoZxG7M7v87N9jLC41Ez3Sdrkhu3t-Qs0krOxDnUPRvzVMqJQfHtes6us33g&_nc_ohc=z-94Ged2-SEQ7kNvwEWfJO9&_nc_gid=kcrVX6a2n2VeeWiGc7zopA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af2GY0jS5I3A4qpOMrPs2fgcUsvsLEE_lTomuiK-GMBV_A&oe=69F01076&_nc_sid=10d13b,https://www.instagram.com/p/DXM0GYTE9Wx/,https://www.instagram.com/brvshcul7ur3/,LIVE MUSIC,BRVSH CUL7UR3,"MAURICE ""JAZZ ONE"" MOSLEY, A VERSATILE GUITARIST AND COMPOSER BLENDING JAZZ TRADITION WITH MODERN GROOVE AND EXPRESSION, DELIVERS A DYNAMIC, FEEL-DRIVEN SOUND. HIS APPROACH DRAWS FROM A WIDE RANGE OF INFLUENCES, ALLOWING HIM TO MOVE SEAMLESSLY BETWEEN STYLES WHILE STAYING ROOTED IN THE LANGUAGE OF JAZZ.",MAURICE MOSLEY,,0.8,3876702516084463025,True,False,False,2026-04-23 15:59:50
BRVSHCUL7UR3,PETE MCCANN QUARTET LIVE,2026-04-24,8:00 PM,BRVSH CUL7UR3 CAFE & LOUNGE,TEANECK,NORTH,EXPERIENCE JAZZ EXCELLENCE WITH PETE MCCANN AND HIS QUARTET LIVE AT BRVSH CUL7UR3!,https://www.instagram.com/p/DXPR9z1Empt/,https://scontent-lax3-2.cdninstagram.com/v/t51.82787-15/670874176_18132496870543512_399512964939535772_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gEjEI0Vkz0oTV7-CnnmtOyMOmOOiM9PLT7FYlPNh-VB3TIQAPrGQTnED2pRTZNp3Bw&_nc_ohc=jwn6rLUgqWQQ7kNvwGClM7s&_nc_gid=bnGvyGkl4vmV6r9jG8MUBg&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af11LrDjTK78CpWWDT_YYTBrmDuj83BxKN5Q8OP0cH6dxg&oe=69EFFC89&_nc_sid=10d13b,https://www.instagram.com/p/DXPR9z1Empt/,https://www.instagram.com/brvshcul7ur3/,LIVE MUSIC,BRVSH CUL7UR3,"PETE MCCANN, WHO HAS WORKED WITH GRAMMY WINNERS AND GLOBAL BRANDS, WILL BE PERFORMING LIVE WITH HIS QUARTET.",PETE MCCANN QUARTET,,0.9,3877396818519288429,True,False,False,2026-04-23 15:59:50
FUNTRENTON,CAPITAL CITY CINEMA: BRAVE,2026-05-15,5:00 PM,PASSAGE THEATRE,TRENTON,CENTRAL,KICK OFF YOUR WEEKEND WITH A SCREENING OF BRAVE!,https://www.instagram.com/p/DXcodIEgS7j/,https://scontent-atl3-2.cdninstagram.com/v/t51.82787-15/673078786_17961917289073646_5236904432760117473_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2gG9p1SnG7geTIe3HR6DXue9jisfnKk0cYwE5xqpmM7pel2805j2pitvgHXlYAPezSQ&_nc_ohc=kVJyV7Fk7q4Q7kNvwF6YndT&_nc_gid=DO7c4w3ih7vGFMBRvWcCQw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af1mFNBwWB-CzVMVMTP6jVV-PXvVYfrJkBJtiqL5cYtz7w&oe=69F00CF7&_nc_sid=10d13b,https://www.instagram.com/p/DXcodIEgS7j/,https://www.instagram.com/funtrenton/,MOVIE SCREENING,CITY OF TRENTON PARKS & RECREATION,MOVIE SCREENING OF BRAVE AS PART OF THE CAPITAL CITY CINEMA SERIES.,,FREE (EVENTBRITE TICKET REQUIRED),0.9,3881154902277304035,True,False,False,2026-04-23 15:59:50
FUNTRENTON,CAPITAL CITY CINEMA: STEEL MAGNOLIAS,2026-05-16,12:00 PM,PASSAGE THEATRE,TRENTON,CENTRAL,ENJOY A CLASSIC AFTERNOON SCREENING OF STEEL MAGNOLIAS!,https://www.instagram.com/p/DXcodIEgS7j/,https://scontent-atl3-2.cdninstagram.com/v/t51.82787-15/673078786_17961917289073646_5236904432760117473_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2gG9p1SnG7geTIe3HR6DXue9jisfnKk0cYwE5xqpmM7pel2805j2pitvgHXlYAPezSQ&_nc_ohc=kVJyV7Fk7q4Q7kNvwF6YndT&_nc_gid=DO7c4w3ih7vGFMBRvWcCQw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af1mFNBwWB-CzVMVMTP6jVV-PXvVYfrJkBJtiqL5cYtz7w&oe=69F00CF7&_nc_sid=10d13b,https://www.instagram.com/p/DXcodIEgS7j/,https://www.instagram.com/funtrenton/,MOVIE SCREENING,CITY OF TRENTON PARKS & RECREATION,MOVIE SCREENING OF STEEL MAGNOLIAS AS PART OF THE CAPITAL CITY CINEMA SERIES.,,FREE (EVENTBRITE TICKET REQUIRED),0.9,3881154902277304035,True,False,False,2026-04-23 15:59:50
