INSTAGRAM HANDLE,EVENT NAME,DATE,START TIME,VENUE NAME,CITY,SECTION OF NJ,NEWSLETTER DESCRIPTION,INSTAGRAM POST URL,DISPLAY URL,POST URL,INSTAGRAM PROFILE URL,EVENT TYPE,ACCOUNT NAME,DESCRIPTION,PERFORMER,PRICE,CONFIDENCE,POST ID,HAD OCR,FROM CALENDAR
_STUDIO327,HAIRCUT & STYLE,2026-01-23,,EWING TOWN CENTER APARTMENTS,,,GET A FRESH NEW LOOK WITH A HAIRCUT AND STYLE!,HTTPS://WWW.INSTAGRAM.COM/P/DT3JBUYDRSD/,HTTPS://SCONTENT-ATL3-3.CDNINSTAGRAM.COM/V/T51.2885-15/621726240_18557263393049291_1051164300495909224_N.JPG?STP=DST-JPG_E35_P1080X1080_SH0.08_TT6&_NC_HT=SCONTENT-ATL3-3.CDNINSTAGRAM.COM&_NC_CAT=111&_NC_OC=Q6CZ2QGGOBBLQG36KILPIKYUVUMJELUO8WTFHBRKXUUFBD5ZT78XM43UOH5VRVXKJBMFBMA&_NC_OHC=KCMAWFWHWECQ7KNVWEI9AQP&_NC_GID=YIOFM3CAGEG6JP0I6XZ1QQ&EDM=APS17CUBAAAA&CCB=7-5&OH=00_AFTFHMR6NTN5OSVEJH8XYXOSRCEENTWZDOVG5NUWDUQIEW&OE=698AD98C&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DT3JBUYDRSD/,HTTPS://WWW.INSTAGRAM.COM/_STUDIO327/,BEAUTY,STUDIO 327,,TAYLER,,0.95,3816673259362786077,False,False
BENTWINECO,BENT WINE POLO CLASSIC 2025,2025-09-05,,,,,RELIVE THE EXCITEMENT OF THE BENT WINE POLO CLASSIC AND DON'T MISS OUT ON NEXT YEAR'S EVENT!,HTTPS://WWW.INSTAGRAM.COM/P/DOPL9MODINM/,HTTPS://SCONTENT-ATL3-3.CDNINSTAGRAM.COM/V/T51.2885-15/542230553_18059830349379020_8441152047609909786_N.JPG?STP=DST-JPG_E15_TT6&_NC_HT=SCONTENT-ATL3-3.CDNINSTAGRAM.COM&_NC_CAT=108&_NC_OC=Q6CZ2QE2_XIN_PYIK4MRULUXDOWIXJBMNP5E4KRZ38K4G6WNJ-MNHJNXGDJ8VVWQJJLOQWK&_NC_OHC=KORJJ3DX7VUQ7KNVWEI8YO4&_NC_GID=EL46NNXTOHT0SS2JXF0CRW&EDM=APS17CUBAAAA&CCB=7-5&OH=00_AFVR3D4C7HZJD1DGYHZTLYDS5BLWOZZJIZ16MVOWYLTFCA&OE=698ABC0A&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DOPL9MODINM/,HTTPS://WWW.INSTAGRAM.COM/BENTWINECO/,FESTIVAL,,"THE HIGH FROM THIS YEAR'S CLASSIC IN NJ STILL HASN'T WORN OFF! IF YOU MISSED IT, DON'T MAKE THE SAME MISTAKE NEXT YEAR.",,,0.95,3715240801560570316,True,False
3R.STUDIOS,THE RHYTHM SERIES PREMIERE: MRS. MARY DOCUMENTARY,2025-12-11,,3R.STUDIO (ONLINE),JERSEY CITY,NORTH,DIVE INTO THE CREATIVE WORLD WITH THE PREMIERE OF 'THE RHYTHM' SERIES FEATURING MRS. MARY!,HTTPS://WWW.INSTAGRAM.COM/P/DSIU5XVJOLZ/,HTTPS://INSTAGRAM.FLUK1-1.FNA.FBCDN.NET/V/T51.2885-15/588414725_24961721663523003_7903057130771546340_N.JPG?STP=DST-JPG_E15_TT6&_NC_HT=INSTAGRAM.FLUK1-1.FNA.FBCDN.NET&_NC_CAT=103&_NC_OC=Q6CZ2QECMJJNNHPLSKZKSP2DAJZE5YLI2Q0CSKDNIYQUWERHLZNBVFSRMT5NDOR4JIMIDV_XJZZSZXNLPHXJUYZLOUKZ&_NC_OHC=UTBUHTPVFTMQ7KNVWFYN5B4&_NC_GID=GJVL2ZBRZQ7O1DJXDZBX0W&EDM=APS17CUBAAAA&CCB=7-5&OH=00_AFSB-CY2TRIEECJJ87YZPD9H8VRFUFXYDVDYZP04EV_2-A&OE=698ADC61&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DSIU5XVJOLZ/,HTTPS://WWW.INSTAGRAM.COM/3R.STUDIOS/,DOCUMENTARY PREMIERE,3R,WATCH THE FULL DOCUMENTARY ON ANY BROWSER AT 3R.STUDIO OR LINK IN BIO. THIS PIECE WAS MADE POSSIBLE THROUGH COLLABORATION WITH @JC.LANDMARKS AND @JCARTANDCULTURE.,MRS. MARY,,0.95,3785367389803022681,True,False
SOUNDSOCIETYSHOWS,PÉTALOS DE ROSAS SINGLE RELEASE EXPERIENCE,2026-02-12,7:00 PM,902 BREWING,JERSEY CITY,NORTH,"CELEBRATE THE RELEASE OF ""PÉTALOS DE ROSAS"" WITH LIVE MUSIC AND A MUSIC VIDEO PREMIERE!",HTTPS://WWW.INSTAGRAM.COM/P/DUEWANPEIQU/,HTTPS://SCONTENT-LGA3-1.CDNINSTAGRAM.COM/V/T51.2885-15/623884023_18143629489461626_5291273271358818367_N.JPG?STP=DST-JPG_E15_TT6&_NC_HT=SCONTENT-LGA3-1.CDNINSTAGRAM.COM&_NC_CAT=102&_NC_OC=Q6CZ2QGIKYQTFM70RZREKCOUT5XDSAJ584JOHZXJGAZRUG-FFIGL3T54TRKWFCJ9APSSLVS&_NC_OHC=LQACQ0TTEI4Q7KNVWESVJHE&_NC_GID=YOSFYLHAJWGKBKKVWRFDJG&EDM=APS17CUBAAAA&CCB=7-5&OH=00_AFTJO2UQHVNIR-KC92R-PSVKPSCHVXOBIGNZQK9HXESMRA&OE=698AC89D&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DUEWANPEIQU/,HTTPS://WWW.INSTAGRAM.COM/SOUNDSOCIETYSHOWS/,SINGLE RELEASE PARTY,SOUND SOCIETY,LIVE MUSIC. MUSIC VIDEO RELEASE. PARTY.,"@PAOLALAUNICA, @ONEDAY.MP333, @2AMINTHEMORNING, @WAKINGLOTUS_, @TIANQUINTERO",FREE,0.95,3820276969775442580,False,False
BARANTICIPATION,SERVER HIRING,2026-02-04,,BAR ANTICIPATION,,,BAR ANTICIPATION IS HIRING SERVERS! EMAIL MARISSA FOR MORE INFO.,HTTPS://WWW.INSTAGRAM.COM/P/DUWOJTWD_X-/,HTTPS://SCONTENT-MIA3-3.CDNINSTAGRAM.COM/V/T39.30808-6/628420239_1387892593370458_3790873001132738532_N.JPG?STP=DST-JPG_E15_FR_P1080X1080_TT6&_NC_HT=SCONTENT-MIA3-3.CDNINSTAGRAM.COM&_NC_CAT=110&_NC_OC=Q6CZ2QFLF0VRF261YGSJONQARWSAQZMYGWJ0TQQVB_ACWYEI_1PJ8QKDXA58MMZVE3ZTAQO&_NC_OHC=7U4T3RD128SQ7KNVWEGMBT2&_NC_GID=TCTYB8HDNS1GO7PTARHUMA&EDM=APS17CUAAAAA&CCB=7-5&OH=00_AFSM302BZSXSTVWSSEATENU3ZAHNBKKKBB6QCXKSCXYQTQ&OE=698AE6ED&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DUWOJTWD_X-/,HTTPS://WWW.INSTAGRAM.COM/BARANTICIPATION/,JOB FAIR,BAR ANTICIPATION,BAR ANTICIPATION IS HIRING SERVERS. EMAIL MARISSA AT MARISSAA@BAR-A.COM FOR MORE INFO.,,,0.95,3825423281311186046,True,False
BARANTICIPATION,COUNTRY & LINE DANCING,2026-02-04,6:00 PM,BAR ANTICIPATION,LAKE COMO,CENTRAL,GET YOUR BOOTS SCOOTIN' WITH COUNTRY AND LINE DANCING TONIGHT AT BAR ANTICIPATION!,HTTPS://WWW.INSTAGRAM.COM/P/DUVXQZJJHTY/,HTTPS://SCONTENT-DFW5-1.CDNINSTAGRAM.COM/V/T39.30808-6/625328600_1385313260295058_2293002815048858450_N.JPG?STP=DST-JPG_E35_S1080X1080_SH0.08_TT6&_NC_HT=SCONTENT-DFW5-1.CDNINSTAGRAM.COM&_NC_CAT=110&_NC_OC=Q6CZ2QFENESJTVIZOZQYXCO123NRFQNQSLI45SCYZ49N4RV2KFSKZA_ZMNFCXBNCLCURGMY&_NC_OHC=ZCH7BG1TTDOQ7KNVWHSGHEY&_NC_GID=J9HR9KM0E6GB20P07VDVDQ&EDM=APS17CUAAAAA&CCB=7-5&OH=00_AFSZEU2DZPG8LIYSAFE0SMY2TLIJHN6CA6DW7W2TUDEXTA&OE=698AD3D5&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DUVXQZJJHTY/,HTTPS://WWW.INSTAGRAM.COM/BARANTICIPATION/,LIVE MUSIC/DANCE,BAR ANTICIPATION,COUNTRY & LINE DANCING FEATURING SAMANTHA SPANO LIVE ON STAGE W/ DJ MIKE NICE! LINE DANCE LESSONS BY RACHAEL!,"SAMANTHA SPANO & DJ MIKE NICE, RACHAEL",,0.95,3825181903939206002,True,True
BARANTICIPATION,JUSTIN'S BIRTHDAY CELEBRATION,2026-02-04,6:00 PM,BAR ANTICIPATION,LAKE COMO,CENTRAL,"CELEBRATE BAR A'S OWN JUSTIN'S BIRTHDAY WITH MUSIC, DANCING, AND FUN!",HTTPS://WWW.INSTAGRAM.COM/P/DUVXQZJJHTY/,HTTPS://SCONTENT-DFW5-1.CDNINSTAGRAM.COM/V/T39.30808-6/625328600_1385313260295058_2293002815048858450_N.JPG?STP=DST-JPG_E35_S1080X1080_SH0.08_TT6&_NC_HT=SCONTENT-DFW5-1.CDNINSTAGRAM.COM&_NC_CAT=110&_NC_OC=Q6CZ2QFENESJTVIZOZQYXCO123NRFQNQSLI45SCYZ49N4RV2KFSKZA_ZMNFCXBNCLCURGMY&_NC_OHC=ZCH7BG1TTDOQ7KNVWHSGHEY&_NC_GID=J9HR9KM0E6GB20P07VDVDQ&EDM=APS17CUAAAAA&CCB=7-5&OH=00_AFSZEU2DZPG8LIYSAFE0SMY2TLIJHN6CA6DW7W2TUDEXTA&OE=698AD3D5&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DUVXQZJJHTY/,HTTPS://WWW.INSTAGRAM.COM/BARANTICIPATION/,BIRTHDAY CELEBRATION,BAR ANTICIPATION,SPECIAL BIRTHDAY CELEBRATION FOR BAR A'S OWN JUSTIN!,,,0.8,3825181903939206002,True,True
BLACKWOMENNJ,BLACK HISTORY MONTH SPOTLIGHT: FRANCESCA ANDRE,2026-02-02,,,,,CELEBRATE BLACK HISTORY MONTH WITH A SPOTLIGHT ON THE TALENTED FRANCESCA ANDRE AND HER IMPACTFUL WORK WITH CREATIVE GROUP21!,HTTPS://WWW.INSTAGRAM.COM/P/DURZLIJGAH8/,HTTPS://SCONTENT-ORD5-2.CDNINSTAGRAM.COM/V/T51.2885-15/625045542_17983609550957018_1470679327770989419_N.JPG?STP=DST-JPG_E35_P1080X1080_SH0.08_TT6&_NC_HT=SCONTENT-ORD5-2.CDNINSTAGRAM.COM&_NC_CAT=102&_NC_OC=Q6CZ2QFTZOVV4UEH4HM2ANCLNARMWOX6SZDF9DKQVGLEGX2GZ_PHJW_JLQCMWHYUSDSZNKW&_NC_OHC=W5CIZPUJWOYQ7KNVWFMNUCA&_NC_GID=VWNIGPKFVCZZXUKA4CFVZA&EDM=APS17CUBAAAA&CCB=7-5&OH=00_AFTWOAE_YNCQU4CP43P5WKENOPPFQ3LOUCULKRDDV1HCZQ&OE=698AE820&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DURZLIJGAH8/,HTTPS://WWW.INSTAGRAM.COM/BLACKWOMENNJ/,SPOTLIGHT,BLACK WOMEN NEW JERSEY,"CELEBRATING FRANCESCA ANDRE, A PHOTOGRAPHER, CREATIVE VISIONARY, AND FOUNDER OF CREATIVE GROUP21, AND A PROUD BLACK WOMEN NEW JERSEY DIRECTORY MEMBER AND ESSEX COUNTY TRIBE LEADER. ",FRANCESCA ANDRE,,0.95,3823948302357996028,True,True
BLACKWOMENNJ,BLACK HISTORY MONTH SPOTLIGHTS (ONGOING),2026-02-02,,,,,"THROUGHOUT FEBRUARY AND BEYOND, BLACK WOMEN NEW JERSEY WILL BE SPOTLIGHTING DYNAMIC WOMEN IN THE COMMUNITY. SEND IN YOUR NOMINATIONS!",HTTPS://WWW.INSTAGRAM.COM/P/DURZLIJGAH8/,HTTPS://SCONTENT-ORD5-2.CDNINSTAGRAM.COM/V/T51.2885-15/625045542_17983609550957018_1470679327770989419_N.JPG?STP=DST-JPG_E35_P1080X1080_SH0.08_TT6&_NC_HT=SCONTENT-ORD5-2.CDNINSTAGRAM.COM&_NC_CAT=102&_NC_OC=Q6CZ2QFTZOVV4UEH4HM2ANCLNARMWOX6SZDF9DKQVGLEGX2GZ_PHJW_JLQCMWHYUSDSZNKW&_NC_OHC=W5CIZPUJWOYQ7KNVWFMNUCA&_NC_GID=VWNIGPKFVCZZXUKA4CFVZA&EDM=APS17CUBAAAA&CCB=7-5&OH=00_AFTWOAE_YNCQU4CP43P5WKENOPPFQ3LOUCULKRDDV1HCZQ&OE=698AE820&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DURZLIJGAH8/,HTTPS://WWW.INSTAGRAM.COM/BLACKWOMENNJ/,SPOTLIGHT SERIES,BLACK WOMEN NEW JERSEY,"ONGOING SPOTLIGHTS THROUGHOUT FEBRUARY AND THE FOLLOWING MONTHS, HIGHLIGHTING WOMEN IN THE COMMUNITY.",,,0.85,3823948302357996028,True,True
DJQUA,DJ DI QUA LIVE ON 107.5 WBLS,2026-02-06,,107.5 WBLS,NYC,,CATCH DJ DI QUA EVERY FRIDAY NIGHT ON 107.5 WBLS!,HTTPS://WWW.INSTAGRAM.COM/P/DUXOMRTJRZH/,HTTPS://INSTAGRAM.FCAE1-1.FNA.FBCDN.NET/V/T51.2885-15/629358765_18558629701052909_2172188902845806161_N.JPG?STP=DST-JPG_E35_P1080X1080_SH0.08_TT6&_NC_HT=INSTAGRAM.FCAE1-1.FNA.FBCDN.NET&_NC_CAT=105&_NC_OC=Q6CZ2QFPG2AQIZ2MBG80B6S1UY2FBRWQ77FBVCDCS1N6NEHMD-C_SDQG73R571TO5WAOE-W&_NC_OHC=SQ__MA4UNB4Q7KNVWGB2DEE&_NC_GID=WHB_Z4GIEGZUU0RKJJNFSW&EDM=APS17CUBAAAA&CCB=7-5&OH=00_AFSOLM9FOKSWVY5QDGOMGHTJMGMMTYFRGNWBSIXPIQ5FNQ&OE=698AE341&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DUXOMRTJRZH/,HTTPS://WWW.INSTAGRAM.COM/DJQUA/,RADIO SHOW,DJ ANTOINE QUA,,DJ DI QUA,,0.95,3825704960692919495,True,False
DJQUA,DJ DI QUA LIVE ON 107.5 WBLS,2026-02-13,,107.5 WBLS,NYC,,CATCH DJ DI QUA EVERY FRIDAY NIGHT ON 107.5 WBLS!,HTTPS://WWW.INSTAGRAM.COM/P/DUXOMRTJRZH/,HTTPS://INSTAGRAM.FCAE1-1.FNA.FBCDN.NET/V/T51.2885-15/629358765_18558629701052909_2172188902845806161_N.JPG?STP=DST-JPG_E35_P1080X1080_SH0.08_TT6&_NC_HT=INSTAGRAM.FCAE1-1.FNA.FBCDN.NET&_NC_CAT=105&_NC_OC=Q6CZ2QFPG2AQIZ2MBG80B6S1UY2FBRWQ77FBVCDCS1N6NEHMD-C_SDQG73R571TO5WAOE-W&_NC_OHC=SQ__MA4UNB4Q7KNVWGB2DEE&_NC_GID=WHB_Z4GIEGZUU0RKJJNFSW&EDM=APS17CUBAAAA&CCB=7-5&OH=00_AFSOLM9FOKSWVY5QDGOMGHTJMGMMTYFRGNWBSIXPIQ5FNQ&OE=698AE341&_NC_SID=10D13B,HTTPS://WWW.INSTAGRAM.COM/P/DUXOMRTJRZH/,HTTPS://WWW.INSTAGRAM.COM/DJQUA/,RADIO SHOW,DJ ANTOINE QUA,,DJ DI QUA,,0.95,3825704960692919495,True,False
