event_name,date,start_time,venue_name,city,section_of_nj,newsletter_description,event_type,description,performer,price,confidence,instagram_handle,instagram_post_url,display_url,post_url,instagram_profile_url,account_name,post_id,had_ocr,from_calendar
BGC Summer Camp,2026-02-25,,,,Central,Dive into a summer of adventure with BGC Summer Camp!,Camp,"Every week of BGC Summer Camp brings new experiences, exciting field trips, games, crafts, hands-on activities, and excitement. Campers have something new to explore each week.",,,0.8,bgcmercer,https://www.instagram.com/p/DVL2WE1jTma/,https://scontent-sea5-1.cdninstagram.com/v/t39.30808-6/631193241_1371511305008607_5341843877735470390_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=scontent-sea5-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QF5uQ6ghyn2QTq5z1E4R0lR_-c-aMGFPNkiR-AZd-kM_VmGiOuR51BAfFjFpyoDWiI&_nc_ohc=1ZK31He3TTUQ7kNvwF2ISuY&_nc_gid=KYQQzuMeSBCwRxiKycLyZw&edm=APs17CUAAAAA&ccb=7-5&oh=00_Afu_MNa9sFMwbLsEnoRLFKudYYCOcWyYpRPj2vPp2OcBAg&oe=69A5642E&_nc_sid=10d13b,https://www.instagram.com/p/DVL2WE1jTma/,https://www.instagram.com/bgcmercer/,Boys & Girls Clubs of Mercer,3840402118796982682,True,False
Great Futures Celebration,2026-03-05,,Cobblestone Creek Country Club,Lawrenceville,Central,Help select the Youth of the Year winner at the Great Futures Celebration!,Celebration,The Great Futures Celebration will feature the 3 finalists who will speak for the Youth of the Year award. There will be a live audience vote to help select the winner.,,,0.9,bgcmercer,https://www.instagram.com/p/DVMYovvDX0j/,https://scontent-mia5-2.cdninstagram.com/v/t39.30808-6/640941700_1382941467198924_7706058008781357301_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=scontent-mia5-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QHWDPIsntmG4ycMbE3TEyQj2OCqdBVe_kA6EuKVxEdclod1mJwgnW16XfjLulQ2YRs&_nc_ohc=of8qP7Xxh-MQ7kNvwEYNaea&_nc_gid=DRYdJlppnm0BjCwkoyBmdA&edm=APs17CUAAAAA&ccb=7-5&oh=00_Afvx9Mw9BcL9Q3vXXjBYOTHBxnz9LVDD-khFasy-gm_wmA&oe=69A574C2&_nc_sid=10d13b,https://www.instagram.com/p/DVMYovvDX0j/,https://www.instagram.com/bgcmercer/,Boys & Girls Clubs of Mercer,3840552935390805283,True,False
Support Power Hour Program at Ross Dress for Less,2026-03-01,,Ross Dress for Less,,Central,Shop at Ross now through March 1st and support local Club kids!,Donation Drive,"Now through March 1st, you can add a donation at checkout at Ross Dress for Less. Your gift supports @bgcmercer’s Power Hour program, providing homework help and tutoring so local Club kids can succeed in school.",,,0.8,bgcmercer,https://www.instagram.com/p/DVG5NrPD14Q/,https://scontent-iad3-1.cdninstagram.com/v/t39.30808-6/640995583_1382884590537945_2996493341687145444_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QGm6bKxjBMepi8rDAUFjavnGy_55aMeJsaNAUMLn0sCTm5ok_zsZTw-ns3vMcLop2E&_nc_ohc=Sk_gW8V3mK8Q7kNvwH7il2t&_nc_gid=nSs93PxAGkF5bpmSR2VOzw&edm=APs17CUAAAAA&ccb=7-5&oh=00_AfvXDjI32_4Hrd12ahCQqSAVLR7qFmqjKwzWzCI5MTaO3A&oe=69A5956F&_nc_sid=10d13b,https://www.instagram.com/p/DVG5NrPD14Q/,https://www.instagram.com/bgcmercer/,Boys & Girls Clubs of Mercer,3839007360807820816,True,False
6th Annual Great Futures Celebration,2026-03-05,,Cobblestone Creek Country Club,Lawrenceville,Central,Join the Boys & Girls Clubs of Mercer County for their 6th Annual Great Futures Celebration!,Celebration,"The 6th Annual Great Futures Celebration, a Sip & Savor Experience, is an event to gather community leaders, local businesses, and event sponsors to invest in the future of youth.",,,0.9,bgcmercer,https://www.instagram.com/p/DVHqhC8jBDX/,https://scontent-lax3-2.cdninstagram.com/v/t39.30808-6/635006917_1376815944478143_200871667143161036_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QE2JKyrPNLiiBrjxdPrM8OoXwRls2BIHbIp4WOy4FluS4V37Cz5Mam88A2sQQzb6YE9X3PkywxKRWY9-5QLso1k&_nc_ohc=XkU09VDG5k0Q7kNvwEBJIfo&_nc_gid=BUNj1ZdsqMtEDk0gIexjWQ&edm=APs17CUAAAAA&ccb=7-5&oh=00_AfuU5vPJlU0VHDvpmCuyrWMtf6RaWWgY8ExqLAsFOWAd6A&oe=69A56445&_nc_sid=10d13b,https://www.instagram.com/p/DVHqhC8jBDX/,https://www.instagram.com/bgcmercer/,Boys & Girls Clubs of Mercer,3839224196216131799,True,False
Grand Opening of AfroBEETS Juice Co.,2026-02-24,,AfroBEETS Juice Co.,East Orange,North,Get your fresh juice fix at the brand new AfroBEETS Juice Co. in East Orange!,Grand Opening,"AfroBEETS Juice Co. is a brand new local juice shop located at 160 Tremont Ave, East Orange, NJ 07018. Known their Spectacular Açaí Bowls, Smoothies, and Freshly made Juices and healthier drink options.",,,0.8,cremetruck,https://www.instagram.com/p/DVJzzPKDyqy/,https://scontent-iad3-1.cdninstagram.com/v/t51.71878-15/642388980_1253565872890354_8144460187941353086_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QF8pKBhF5QfJOpEVtXHryH7vZGJwmiqYmLCZhm6yEkdbqBBNY6y7vnv8496DGpAkrw&_nc_ohc=9NvtBIpkOPsQ7kNvwFoUA12&_nc_gid=wdXrcGVWEKsj1vfGUXUaxA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AftqmPZYUnGYi0Box7Kz4_7DsUVijQEzbZVUy7A-H8_p2A&oe=69A5770F&_nc_sid=10d13b,https://www.instagram.com/p/DVJzzPKDyqy/,https://www.instagram.com/cremetruck/,CREMETRUCK,3839827978650331826,True,False
Great Futures Celebration,2026-03-05,,Cobblestone Creek Country Club,Lawrenceville,Central,Be there to vote for the Youth of the Year at the Great Futures Celebration!,Celebration,The Great Futures Celebration will feature the 3 finalists for Youth of the Year. Attendees will have a live audience vote to help select the winner.,,,0.9,bgcmercer,https://www.instagram.com/p/DVJMsufE1eW/,https://scontent-atl3-1.cdninstagram.com/v/t39.30808-6/641380303_1382935233866214_8795846458357042127_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QGMMlMdb_hf9wz84j_UMO-So1uwO5oEdRB_VlhYC_Byy4HFIWsbEGvI4_03b2TG9Ao&_nc_ohc=kqc8tgrCeWYQ7kNvwErGl5M&_nc_gid=F7VNTvR_6GWJ8GJy4Bwnfw&edm=APs17CUAAAAA&ccb=7-5&oh=00_Afs60LMb0t0zNBUfajfjw-8_giwzuUcdDoYmql6E8hT51w&oe=69A56508&_nc_sid=10d13b,https://www.instagram.com/p/DVJMsufE1eW/,https://www.instagram.com/bgcmercer/,Boys & Girls Clubs of Mercer,3839656007438653334,True,False
Friday Night After Dark,2026-02-27,7:00 PM,The City Lounge,Newark,North,Get ready for a vibrant Friday night at City Lounge with electrifying music and amazing deals!,Nightlife,"Friday Night After Dark with doors opening from 7 PM to 3 AM. Features Happy Hour from 7 PM to 10 PM. Sounds by @letsgoshu, @djnoso, and @djduncann_. Special offer of 2 for $350 bottles of Don Rep presold. Bottles by @kissmybleep. Drinks by @drinkswithtonya and @s.iyy_. Hookah by @miss_shan84. Food by @anythinggozcatering. Free entry until 10 PM. Reservations via DM to @citylounge973 or @mr_eli_to_you.","['@letsgoshu', '@djnoso', '@djduncann_']",$350 for 2 bottles (presold),1.0,citylounge973,https://www.instagram.com/p/DVEo0wVkkBD/,https://scontent-lga3-1.cdninstagram.com/v/t51.82787-15/638308806_18342069718215374_287627532647679960_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QGrfO9XMCq8akt-0y5bnBwYWIjG7wvcgWrISXyez1Y5iQRbLlyolfvwsEZW3-TQY_c&_nc_ohc=QSZttLookwAQ7kNvwEiZq97&_nc_gid=EVjdzFRMjee4REMuvPGvYQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfutLUbOLzOXoEc9Legoo0ACMrDrEBjg25ca7olCTf-qwQ&oe=69A576F5&_nc_sid=10d13b,https://www.instagram.com/p/DVEo0wVkkBD/,https://www.instagram.com/citylounge973/,The City Lounge,3838372329601253443,True,False
BAD IDEA,2026-03-15,,,,,Get ready for BAD IDEA with Nobody and production by Bockman!,Music,"BAD IDEA by NOBODY, production by BOCKMAN.",@n0b0dy416,,1,b0ckman,https://www.instagram.com/p/DVBscbxkfss/,https://scontent-det1-1.cdninstagram.com/v/t51.71878-15/637278437_1919611898941768_9066454672179867714_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QGTPY40YAtcqKs101qNbnHrHy_W5zFpWqxoAGgexRuVKhz2tPoRNE2mZuPnY7UMpZ4&_nc_ohc=ddqmjR4rU3sQ7kNvwGgAshp&_nc_gid=q417p88eNyT1HJFFsCJeyg&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afv8xQIvR_bL6KQpxNOYkB9EUcMpWU3V-SQVFZCwACAk5w&oe=69A57F88&_nc_sid=10d13b,https://www.instagram.com/p/DVBscbxkfss/,https://www.instagram.com/b0ckman/,Bockman,3837543825510890284,True,False
Crabbae Maplewood is closed,2026-02-25,,Crabbae,Maplewood,Central,"Maplewood location closed today, head to Kenilworth!",Closure,Crabbae Maplewood is closed today. Please visit Crabbae Kenilworth.,,,0.9,crabbaemaplewood,https://www.instagram.com/p/DVLvCgnEYbH/,https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/628594906_18396040900183267_1271841199658602529_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QGXiV7Xu4nYFq2LFzdAXUkeO5Li_DrUSze5HX994cv2bW0S9hf7tYFKX6d6WqNsbRM&_nc_ohc=dut7DBkkpUcQ7kNvwGBzMr6&_nc_gid=gVheK227he9H_xAb_p7sAQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfuA4qx5taSqELLIYpqY4ynPu9YgWKDQYI-ApiQV7UFQXg&oe=69A58AB1&_nc_sid=10d13b,https://www.instagram.com/p/DVLvCgnEYbH/,https://www.instagram.com/crabbaemaplewood/,165 Franklin terrace Maplewood nj,3840369987903653575,True,False
Crabbae Kenilworth open,2026-02-25,,Crabbae Kenilworth,Kenilworth,Central,Crabbae Kenilworth is open and ready to serve you!,Opening,Crabbae Kenilworth is open and ready to serve you!,,,0.9,crabbaemaplewood,https://www.instagram.com/p/DVLvCgnEYbH/,https://scontent-lga3-2.cdninstagram.com/v/t51.82787-15/628594906_18396040900183267_1271841199658602529_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QGXiV7Xu4nYFq2LFzdAXUkeO5Li_DrUSze5HX994cv2bW0S9hf7tYFKX6d6WqNsbRM&_nc_ohc=dut7DBkkpUcQ7kNvwGBzMr6&_nc_gid=gVheK227he9H_xAb_p7sAQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfuA4qx5taSqELLIYpqY4ynPu9YgWKDQYI-ApiQV7UFQXg&oe=69A58AB1&_nc_sid=10d13b,https://www.instagram.com/p/DVLvCgnEYbH/,https://www.instagram.com/crabbaemaplewood/,165 Franklin terrace Maplewood nj,3840369987903653575,True,False
