event_name,date,start_time,venue_name,city,section_of_nj,newsletter_description,event_type,description,performer,price,confidence,is_recurring,instagram_handle,instagram_post_url,display_url,post_url,instagram_profile_url,account_name,post_id,had_ocr,from_calendar
Opportunity Mondays,2026-03-16,7:30 PM,Zoom,,,Circulate opportunities within your network with Black Women New Jersey!,Networking,"Opportunity Mondays start this Monday at 7:30 PM on Zoom. Let’s circulate opportunities within our network. Careers, business resources, professional growth & more.",,,1,True,blackwomennj,https://www.instagram.com/p/DV3h3b3DTsH/,https://scontent-ord5-2.cdninstagram.com/v/t51.82787-15/652179310_17988333305957018_6445019420386580774_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2gGaEDBkKaMIZ8h0awAxV9RC63JSfuz3y3MmkbGM320lXXAycgbZt6HCvXTeSaX7FeA&_nc_ohc=ISjaefWPLb0Q7kNvwEORIzi&_nc_gid=rEqhUxb4aq10723VSIHpZg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfzgFNaRjmv6_h41pWa17tYKEG0ktlEDPVJEhfM3oPcctw&oe=69C21996&_nc_sid=10d13b,https://www.instagram.com/p/DV3h3b3DTsH/,https://www.instagram.com/blackwomennj/,Black Women New Jersey,3852696951259478791,True,False
South Jersey Women's Empowerment,2026-03-21,4:00 PM,Arland Poindexter Community Center,Chesilhurst,South,"Join Black Women New Jersey for an empowering experience with keynote speakers, networking, and delicious cuisine!",Empowerment Event,"The South Jersey Women's Empowerment Experience, hosted by Black Women New Jersey, will feature a powerful joint keynote by Mayor Jamila Odom Garnett and Shanique Taliaferro centered on leadership, collaboration, and the importance of women standing together to create impact. The event will also include a 'Special Moment of Power' by Dr. NYC, recognition of Women's History Month Honorees (Pastor/Prophet Monique, Dr. Stephné Coney, Lisa Dority, Councilwoman Kyana T. Evans), empowering conversations, community connection, networking, delicious cuisine by Cicely Love Meals, music and entertainment, games and fellowship, and inspiring moments of leadership and unity.","Mayor Jamila Odom Garnett, Shanique Taliaferro, Dr. NYC, Pastor/Prophet Monique, Dr. Stephné Coney, Lisa Dority, Councilwoman Kyana T. Evans",,1,False,blackwomennj,https://www.instagram.com/p/DWARK3tDavV/,https://scontent-sjc3-1.cdninstagram.com/v/t51.82787-15/654637506_17988837233957018_6792399837816822171_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2gEy4JxIJqNoF7lKlBcr_tTj1IGYaHRrF7eXXVcgA13yvJxBpOjgcevac36aBEt36s0&_nc_ohc=DnoZbmNFkOYQ7kNvwG6hiUy&_nc_gid=Ggbx2E1FG8EsST57KGGaUw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afwvj57efg9tNIia1YiWBxCQlR8Zg5GVNqyVmN6ZmdkzMQ&oe=69C23358&_nc_sid=10d13b,https://www.instagram.com/p/DWARK3tDavV/,https://www.instagram.com/blackwomennj/,Black Women New Jersey,3855156794826271701,True,False
The Mayor's Ball,2026-03-15,,,East Orange,Central,"Experience a night of leadership, culture, and powerful conversations at The Mayor's Ball!",Gala,"A night of smiles, networking, and Black Excellence. Celebrated with love, leadership, culture, and powerful conversations. Community showed up for community, fostering more connections, opportunities, and unity.",,,0.8,False,cafe_by_us,https://www.instagram.com/p/DV7XvR4AH55/,https://scontent-ord5-3.cdninstagram.com/v/t51.71878-15/651974035_938131255357879_1986771605820317329_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2gH1ekEJyBDkrdMAVuy_VetmVIRLBVbl4hHgyz5AEnpz7GoZhtk2QokNxaNRRv-5Me8&_nc_ohc=wLnf3lCwMVMQ7kNvwG5ZHml&_nc_gid=Wa-j69bI9KgfkpNpCrT_eg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfwZDv5cbqfpimJyNS-iv3vLQGu25vfBFDLdXTls4gI4XA&oe=69C20B15&_nc_sid=10d13b,https://www.instagram.com/p/DV7XvR4AH55/,https://www.instagram.com/cafe_by_us/,Where Love Brews!!,3853778310223920761,False,False
DJ Tragedy @ Hook & Reel,2026-03-15,8:00 PM,Hook & Reel Cajun Seafood & Bar,Elmwood Park,North,Groove into your Sunday with DJ Tragedy bringing the vibes to Hook & Reel!,Music,Music by @siriusxmfly @djtragedy. Late night happy hour 9pm-12am.,"@djtragedy, @siriusxmfly",,0.9,True,djtragedy,https://www.instagram.com/p/DV3htY6jnde/,https://scontent-ord5-1.cdninstagram.com/v/t51.82787-15/652670236_18568235185059205_3713090461435504221_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gGicjfnpK-uYJ9bJHJt6H1ChTJ4CnJP8hOiSWURBYL_hrWg9GD9GwsrYF6SvARWSlc&_nc_ohc=28uHhSOA0X4Q7kNvwGfOeMT&_nc_gid=v3VMooxQOfBYsHDASvorEg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfxDyxiRYGsZSNTDiFyqkc8HLNbKLG87Gy7WPABjCQUPBA&oe=69C22B46&_nc_sid=10d13b,https://www.instagram.com/p/DV3htY6jnde/,https://www.instagram.com/djtragedy/,Tragedy Getintuned,3852696260902287198,True,False
Hook & Reel Saturday Vibes,2026-03-14,8:00 PM,Hook & Reel Cajun Seafood & Bar,Elmwood Park,North,Experience the electrifying Saturday night sounds at Hook & Reel with DJ Tragedy!,Music,TONIGHT WE BRING THE VYBZ TO @hookandreel.usa (ELMWOOD PARK NJ) 8-12pm MUSIC BY @siriusxmfly @djtragedy. EACH AND EVERY SATURDAY. LATE NIGHT HAPPY HOUR 9PM-12AM.,"@djtragedy, @siriusxmfly",,0.9,True,djtragedy,https://www.instagram.com/p/DV3htY6jnde/,https://scontent-ord5-1.cdninstagram.com/v/t51.82787-15/652670236_18568235185059205_3713090461435504221_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gGicjfnpK-uYJ9bJHJt6H1ChTJ4CnJP8hOiSWURBYL_hrWg9GD9GwsrYF6SvARWSlc&_nc_ohc=28uHhSOA0X4Q7kNvwGfOeMT&_nc_gid=v3VMooxQOfBYsHDASvorEg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfxDyxiRYGsZSNTDiFyqkc8HLNbKLG87Gy7WPABjCQUPBA&oe=69C22B46&_nc_sid=10d13b,https://www.instagram.com/p/DV3htY6jnde/,https://www.instagram.com/djtragedy/,Tragedy Getintuned,3852696260902287198,True,False
Late Night Happy Hour,2026-03-14,9:00 PM,Hook & Reel Cajun Seafood & Bar,Elmwood Park,North,Savor late-night deals and delicious bites at Hook & Reel's Happy Hour!,Happy Hour,LATE NIGHT HAPPY HOUR 9PM-12AM,,,0.9,True,djtragedy,https://www.instagram.com/p/DV3htY6jnde/,https://scontent-ord5-1.cdninstagram.com/v/t51.82787-15/652670236_18568235185059205_3713090461435504221_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gGicjfnpK-uYJ9bJHJt6H1ChTJ4CnJP8hOiSWURBYL_hrWg9GD9GwsrYF6SvARWSlc&_nc_ohc=28uHhSOA0X4Q7kNvwGfOeMT&_nc_gid=v3VMooxQOfBYsHDASvorEg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfxDyxiRYGsZSNTDiFyqkc8HLNbKLG87Gy7WPABjCQUPBA&oe=69C22B46&_nc_sid=10d13b,https://www.instagram.com/p/DV3htY6jnde/,https://www.instagram.com/djtragedy/,Tragedy Getintuned,3852696260902287198,True,False
Late Night Happy Hour,2026-03-15,9:00 PM,Hook & Reel Cajun Seafood & Bar,Elmwood Park,North,Savor late-night deals and delicious bites at Hook & Reel's Happy Hour!,Happy Hour,LATE NIGHT HAPPY HOUR 9PM-12AM,,,0.9,True,djtragedy,https://www.instagram.com/p/DV3htY6jnde/,https://scontent-ord5-1.cdninstagram.com/v/t51.82787-15/652670236_18568235185059205_3713090461435504221_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gGicjfnpK-uYJ9bJHJt6H1ChTJ4CnJP8hOiSWURBYL_hrWg9GD9GwsrYF6SvARWSlc&_nc_ohc=28uHhSOA0X4Q7kNvwGfOeMT&_nc_gid=v3VMooxQOfBYsHDASvorEg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfxDyxiRYGsZSNTDiFyqkc8HLNbKLG87Gy7WPABjCQUPBA&oe=69C22B46&_nc_sid=10d13b,https://www.instagram.com/p/DV3htY6jnde/,https://www.instagram.com/djtragedy/,Tragedy Getintuned,3852696260902287198,True,False
20k Follower Giveaway,2026-03-18,,Ayala Coffee,,,Celebrate 20k followers with Ayala Coffee's biggest giveaway yet!,Giveaway,"To celebrate reaching 20k followers and as a thank you for all the support you have given us over the years, we are doing our biggest giveaway yet!!

To enter:
✅ Follow @ayalacoffee
✅ Like this post
✅ Tag 3 friends in the comments
✅ For an extra entry, share this post to your story and tag us (profile must be public for us to see)

One winner will be chosen at random for each of the following items (only one winner per item):
$50 Ayala gift card
$20 Ayala gift card
Free latte of your choice
Free pastry of your choice
Free @jamiebbnyc x Ayala Run Club collab hat
Free Ayala camo hat
Free breakfast sandwich
Free Ayala sticker + set of enamel pins
Free Ayala White Camo shirt
Free bag of coffee",,,1,False,ayalacoffee,https://www.instagram.com/p/DV_SF0MFW0W/,https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/653953557_18085270412602522_4626993690112381974_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2gE-19hFQbMZr-2AWPzpSRG3EvG3M30Gp0bymjPn3fc-RnGQSYOLDE5TI3cPnNeUUm0&_nc_ohc=NIzYIHITHfMQ7kNvwFSvT3X&_nc_gid=ayzFWFq06Lw5u4KQdy2oNA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afy30OI6MU6RynP3WOR03ljuEmJnLgLFuDRDyeuFSxDbig&oe=69C21113&_nc_sid=10d13b,https://www.instagram.com/p/DV_SF0MFW0W/,https://www.instagram.com/ayalacoffee/,Ayala Coffee,3854879370524323094,True,False
BIG FISH PISCES BASH,2026-03-14,,The Vault Lounge,Newark,Central,Dive into the BIG FISH PISCES BASH TOMORROW!,party,BIG FISH PISCES ♓️ BASH TOMORROW,,,0.9,False,chop.life.crew,https://www.instagram.com/p/DV13RvlGJBG/,https://scontent-ord5-1.cdninstagram.com/v/t51.82787-15/651591387_18508494493074493_6661424250988210575_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gHUiMEoe-k1B_tHNOzXA2LGkXBtLKwkO1W8NJ2MNRiSTLUztpfc61C4Nau2BzoFpxA&_nc_ohc=rJoR8RlhWecQ7kNvwHrdz1i&_nc_gid=IWLJpnsxJ1KdEFXzoz__uQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfzwSDIpAPO7hmwhXM-Dk9ywO9TE_8RdREoT2IiQGkV0HQ&oe=69C2364B&_nc_sid=10d13b,https://www.instagram.com/p/DV13RvlGJBG/,https://www.instagram.com/chop.life.crew/,CLC Marketing Group LLC 🌍,3852228168162775110,True,False
Re-Elect Ras J. Baraka for Mayor,2026-05-12,,,Newark,Central,Vote for continued progress in Newark!,election,Re-elect Democrat Ras J. Baraka for Mayor of Newark. Vote Team Baraka to continue to move Newark forward.,,,0.9,False,blackwomennj,https://www.instagram.com/p/DV7YvtnDXSC/,https://scontent-ord5-2.cdninstagram.com/v/t51.82787-15/654015587_17988558878957018_5346148348703280321_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2gG4fi2Mi8UQOFmokXCSZAdU4D48tn2QIfsaOco7i9CgPOqQDXBmbT3ooW5IuEt3PF2GK_wXalQUKWSrLejkS2hG&_nc_ohc=do_Je5ZwjiEQ7kNvwF6Gm5m&_nc_gid=U_Rtj8xaq9kAkWLFB-z4Sg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfxZOynXuQPYGA8leut1pGI_T_A2r7sQla8C2lvNbGLlsA&oe=69C20C7B&_nc_sid=10d13b,https://www.instagram.com/p/DV7YvtnDXSC/,https://www.instagram.com/blackwomennj/,Black Women New Jersey,3853782738050839682,True,False
